pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BBBB	CM043863.1	120001	130000	NA	0	NA	NA	NA
BBSS	CM043863.1	120001	130000	NA	0	NA	NA	NA
SSSS	CM043863.1	120001	130000	NA	0	NA	NA	NA
BBBB	CM043863.1	130001	140000	NA	0	NA	NA	NA
BBSS	CM043863.1	130001	140000	NA	0	NA	NA	NA
SSSS	CM043863.1	130001	140000	NA	0	NA	NA	NA
BBBB	CM043863.1	140001	150000	NA	0	NA	NA	NA
BBSS	CM043863.1	140001	150000	NA	0	NA	NA	NA
SSSS	CM043863.1	140001	150000	NA	0	NA	NA	NA
SSSS	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBBB	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBSS	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBBB	CM043863.1	160001	170000	NA	0	NA	NA	NA
BBSS	CM043863.1	160001	170000	NA	0	NA	NA	NA
SSSS	CM043863.1	160001	170000	NA	0	NA	NA	NA
BBBB	CM043863.1	170001	180000	NA	0	NA	NA	NA
BBSS	CM043863.1	170001	180000	NA	0	NA	NA	NA
SSSS	CM043863.1	170001	180000	NA	0	NA	NA	NA
BBBB	CM043863.1	180001	190000	NA	0	NA	NA	NA
BBSS	CM043863.1	180001	190000	NA	0	NA	NA	NA
SSSS	CM043863.1	180001	190000	NA	0	NA	NA	NA
BBSS	CM043863.1	190001	200000	NA	0	NA	NA	NA
BBBB	CM043863.1	190001	200000	NA	0	NA	NA	NA
SSSS	CM043863.1	190001	200000	NA	0	NA	NA	NA
BBSS	CM043863.1	200001	210000	0.0	113	0	6624	834
SSSS	CM043863.1	200001	210000	0.0	113	0	17223	66
BBBB	CM043863.1	200001	210000	0.0	113	0	5085	0
BBBB	CM043863.1	210001	220000	0.0	418	0	18699	111
BBSS	CM043863.1	210001	220000	0.0005957478497226	418	16	26857	731
SSSS	CM043863.1	210001	220000	0.0	418	0	58628	5326
BBBB	CM043863.1	220001	230000	0.0	500	0	22296	204
BBSS	CM043863.1	220001	230000	0.0	500	0	30188	2812
SSSS	CM043863.1	220001	230000	0.0	500	0	70777	5723
BBBB	CM043863.1	230001	240000	0.0	72	0	3019	221
BBSS	CM043863.1	230001	240000	0.0080375083724045	72	36	4479	273
SSSS	CM043863.1	230001	240000	0.0	72	0	9741	1275
BBBB	CM043863.1	240001	250000	NA	0	NA	NA	NA
BBSS	CM043863.1	240001	250000	NA	0	NA	NA	NA
SSSS	CM043863.1	240001	250000	NA	0	NA	NA	NA
SSSS	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBSS	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBBB	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBBB	CM043863.1	260001	270000	NA	0	NA	NA	NA
BBSS	CM043863.1	260001	270000	NA	0	NA	NA	NA
SSSS	CM043863.1	260001	270000	NA	0	NA	NA	NA
BBBB	CM043863.1	270001	280000	NA	0	NA	NA	NA
BBSS	CM043863.1	270001	280000	NA	0	NA	NA	NA
SSSS	CM043863.1	270001	280000	NA	0	NA	NA	NA
BBBB	CM043863.1	280001	290000	NA	0	NA	NA	NA
BBSS	CM043863.1	280001	290000	NA	0	NA	NA	NA
SSSS	CM043863.1	280001	290000	NA	0	NA	NA	NA
BBBB	CM043863.1	290001	300000	NA	0	NA	NA	NA
BBSS	CM043863.1	290001	300000	NA	0	NA	NA	NA
SSSS	CM043863.1	290001	300000	NA	0	NA	NA	NA
BBSS	CM043863.1	300001	310000	NA	0	NA	NA	NA
SSSS	CM043863.1	300001	310000	NA	0	NA	NA	NA
BBBB	CM043863.1	300001	310000	NA	0	NA	NA	NA
BBSS	CM043863.1	310001	320000	NA	0	NA	NA	NA
SSSS	CM043863.1	310001	320000	NA	0	NA	NA	NA
BBBB	CM043863.1	310001	320000	NA	0	NA	NA	NA
BBBB	CM043863.1	320001	330000	NA	0	NA	NA	NA
BBSS	CM043863.1	320001	330000	NA	0	NA	NA	NA
SSSS	CM043863.1	320001	330000	NA	0	NA	NA	NA
BBBB	CM043863.1	330001	340000	NA	0	NA	NA	NA
BBSS	CM043863.1	330001	340000	NA	0	NA	NA	NA
SSSS	CM043863.1	330001	340000	NA	0	NA	NA	NA
BBBB	CM043863.1	340001	350000	NA	0	NA	NA	NA
BBSS	CM043863.1	340001	350000	NA	0	NA	NA	NA
SSSS	CM043863.1	340001	350000	NA	0	NA	NA	NA
SSSS	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBSS	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBBB	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBBB	CM043863.1	360001	370000	NA	0	NA	NA	NA
BBSS	CM043863.1	360001	370000	NA	0	NA	NA	NA
SSSS	CM043863.1	360001	370000	NA	0	NA	NA	NA
BBBB	CM043863.1	370001	380000	NA	0	NA	NA	NA
BBSS	CM043863.1	370001	380000	NA	0	NA	NA	NA
SSSS	CM043863.1	370001	380000	NA	0	NA	NA	NA
BBBB	CM043863.1	380001	390000	NA	0	NA	NA	NA
BBSS	CM043863.1	380001	390000	NA	0	NA	NA	NA
SSSS	CM043863.1	380001	390000	NA	0	NA	NA	NA
SSSS	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBSS	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBBB	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBBB	CM043863.1	400001	410000	NA	0	NA	NA	NA
BBSS	CM043863.1	400001	410000	NA	0	NA	NA	NA
SSSS	CM043863.1	400001	410000	NA	0	NA	NA	NA
BBBB	CM043863.1	410001	420000	NA	0	NA	NA	NA
BBSS	CM043863.1	410001	420000	NA	0	NA	NA	NA
SSSS	CM043863.1	410001	420000	NA	0	NA	NA	NA
BBBB	CM043863.1	420001	430000	NA	0	NA	NA	NA
BBSS	CM043863.1	420001	430000	NA	0	NA	NA	NA
SSSS	CM043863.1	420001	430000	NA	0	NA	NA	NA
SSSS	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBSS	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBBB	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBBB	CM043863.1	440001	450000	NA	0	NA	NA	NA
BBSS	CM043863.1	440001	450000	NA	0	NA	NA	NA
SSSS	CM043863.1	440001	450000	NA	0	NA	NA	NA
BBBB	CM043863.1	450001	460000	NA	0	NA	NA	NA
BBSS	CM043863.1	450001	460000	NA	0	NA	NA	NA
SSSS	CM043863.1	450001	460000	NA	0	NA	NA	NA
BBBB	CM043863.1	460001	470000	NA	0	NA	NA	NA
BBSS	CM043863.1	460001	470000	NA	0	NA	NA	NA
SSSS	CM043863.1	460001	470000	NA	0	NA	NA	NA
SSSS	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBSS	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBBB	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBBB	CM043863.1	480001	490000	NA	0	NA	NA	NA
BBSS	CM043863.1	480001	490000	NA	0	NA	NA	NA
SSSS	CM043863.1	480001	490000	NA	0	NA	NA	NA
BBBB	CM043863.1	490001	500000	NA	0	NA	NA	NA
BBSS	CM043863.1	490001	500000	NA	0	NA	NA	NA
SSSS	CM043863.1	490001	500000	NA	0	NA	NA	NA
SSSS	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBSS	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBBB	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBBB	CM043863.1	510001	520000	NA	0	NA	NA	NA
BBSS	CM043863.1	510001	520000	NA	0	NA	NA	NA
SSSS	CM043863.1	510001	520000	NA	0	NA	NA	NA
BBBB	CM043863.1	520001	530000	NA	0	NA	NA	NA
BBSS	CM043863.1	520001	530000	NA	0	NA	NA	NA
SSSS	CM043863.1	520001	530000	NA	0	NA	NA	NA
SSSS	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBSS	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBBB	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBBB	CM043863.1	540001	550000	NA	0	NA	NA	NA
BBSS	CM043863.1	540001	550000	NA	0	NA	NA	NA
SSSS	CM043863.1	540001	550000	NA	0	NA	NA	NA
BBBB	CM043863.1	550001	560000	NA	0	NA	NA	NA
BBSS	CM043863.1	550001	560000	NA	0	NA	NA	NA
SSSS	CM043863.1	550001	560000	NA	0	NA	NA	NA
SSSS	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBSS	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBBB	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBBB	CM043863.1	570001	580000	NA	0	NA	NA	NA
BBSS	CM043863.1	570001	580000	NA	0	NA	NA	NA
SSSS	CM043863.1	570001	580000	NA	0	NA	NA	NA
BBBB	CM043863.1	580001	590000	NA	0	NA	NA	NA
BBSS	CM043863.1	580001	590000	NA	0	NA	NA	NA
SSSS	CM043863.1	580001	590000	NA	0	NA	NA	NA
BBSS	CM043863.1	590001	600000	NA	0	NA	NA	NA
SSSS	CM043863.1	590001	600000	NA	0	NA	NA	NA
BBBB	CM043863.1	590001	600000	NA	0	NA	NA	NA
SSSS	CM043863.1	600001	610000	NA	0	NA	NA	NA
BBSS	CM043863.1	600001	610000	NA	0	NA	NA	NA
BBBB	CM043863.1	600001	610000	NA	0	NA	NA	NA
SSSS	CM043863.1	610001	620000	NA	0	NA	NA	NA
BBSS	CM043863.1	610001	620000	NA	0	NA	NA	NA
BBBB	CM043863.1	610001	620000	NA	0	NA	NA	NA
SSSS	CM043863.1	620001	630000	NA	0	NA	NA	NA
BBSS	CM043863.1	620001	630000	NA	0	NA	NA	NA
BBBB	CM043863.1	620001	630000	NA	0	NA	NA	NA
SSSS	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBBB	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBSS	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBBB	CM043863.1	640001	650000	NA	0	NA	NA	NA
BBSS	CM043863.1	640001	650000	NA	0	NA	NA	NA
SSSS	CM043863.1	640001	650000	NA	0	NA	NA	NA
BBBB	CM043863.1	650001	660000	NA	0	NA	NA	NA
SSSS	CM043863.1	650001	660000	NA	0	NA	NA	NA
BBSS	CM043863.1	650001	660000	NA	0	NA	NA	NA
SSSS	CM043863.1	660001	670000	NA	0	NA	NA	NA
BBSS	CM043863.1	660001	670000	NA	0	NA	NA	NA
BBBB	CM043863.1	660001	670000	NA	0	NA	NA	NA
SSSS	CM043863.1	670001	680000	0.0	351	0	42141	11562
BBSS	CM043863.1	670001	680000	0.0	351	0	23166	0
BBBB	CM043863.1	670001	680000	0.0	351	0	14571	1224
SSSS	CM043863.1	680001	690000	0.0	119	0	10916	7291
BBSS	CM043863.1	680001	690000	0.0	119	0	7854	0
BBBB	CM043863.1	680001	690000	0.0	119	0	5304	51
BBSS	CM043863.1	690001	700000	NA	0	NA	NA	NA
BBBB	CM043863.1	690001	700000	NA	0	NA	NA	NA
SSSS	CM043863.1	690001	700000	NA	0	NA	NA	NA
BBBB	CM043863.1	700001	710000	NA	0	NA	NA	NA
BBSS	CM043863.1	700001	710000	NA	0	NA	NA	NA
SSSS	CM043863.1	700001	710000	NA	0	NA	NA	NA
BBBB	CM043863.1	710001	720000	NA	0	NA	NA	NA
BBSS	CM043863.1	710001	720000	NA	0	NA	NA	NA
SSSS	CM043863.1	710001	720000	NA	0	NA	NA	NA
BBBB	CM043863.1	720001	730000	0.0	180	0	8100	0
BBSS	CM043863.1	720001	730000	0.0	180	0	6009	5871
SSSS	CM043863.1	720001	730000	0.0	180	0	27540	0
BBBB	CM043863.1	730001	740000	0.0	38	0	1710	0
BBSS	CM043863.1	730001	740000	0.0	38	0	1081	1427
SSSS	CM043863.1	730001	740000	0.0	38	0	5814	0
BBBB	CM043863.1	740001	750000	NA	0	NA	NA	NA
BBSS	CM043863.1	740001	750000	NA	0	NA	NA	NA
SSSS	CM043863.1	740001	750000	NA	0	NA	NA	NA
BBBB	CM043863.1	750001	760000	NA	0	NA	NA	NA
BBSS	CM043863.1	750001	760000	NA	0	NA	NA	NA
SSSS	CM043863.1	750001	760000	NA	0	NA	NA	NA
BBBB	CM043863.1	760001	770000	NA	0	NA	NA	NA
BBSS	CM043863.1	760001	770000	NA	0	NA	NA	NA
SSSS	CM043863.1	760001	770000	NA	0	NA	NA	NA
BBBB	CM043863.1	770001	780000	NA	0	NA	NA	NA
BBSS	CM043863.1	770001	780000	NA	0	NA	NA	NA
SSSS	CM043863.1	770001	780000	NA	0	NA	NA	NA
SSSS	CM043863.1	780001	790000	NA	0	NA	NA	NA
BBSS	CM043863.1	780001	790000	NA	0	NA	NA	NA
BBBB	CM043863.1	780001	790000	NA	0	NA	NA	NA
SSSS	CM043863.1	790001	800000	NA	0	NA	NA	NA
BBBB	CM043863.1	790001	800000	NA	0	NA	NA	NA
BBSS	CM043863.1	790001	800000	NA	0	NA	NA	NA
SSSS	CM043863.1	800001	810000	NA	0	NA	NA	NA
BBSS	CM043863.1	800001	810000	NA	0	NA	NA	NA
BBBB	CM043863.1	800001	810000	NA	0	NA	NA	NA
SSSS	CM043863.1	810001	820000	NA	0	NA	NA	NA
BBSS	CM043863.1	810001	820000	NA	0	NA	NA	NA
BBBB	CM043863.1	810001	820000	NA	0	NA	NA	NA
SSSS	CM043863.1	820001	830000	NA	0	NA	NA	NA
BBSS	CM043863.1	820001	830000	NA	0	NA	NA	NA
BBBB	CM043863.1	820001	830000	NA	0	NA	NA	NA
SSSS	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBSS	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBBB	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBBB	CM043863.1	840001	850000	NA	0	NA	NA	NA
BBSS	CM043863.1	840001	850000	NA	0	NA	NA	NA
SSSS	CM043863.1	840001	850000	NA	0	NA	NA	NA
BBSS	CM043863.1	850001	860000	NA	0	NA	NA	NA
SSSS	CM043863.1	850001	860000	NA	0	NA	NA	NA
BBBB	CM043863.1	850001	860000	NA	0	NA	NA	NA
SSSS	CM043863.1	860001	870000	NA	0	NA	NA	NA
BBSS	CM043863.1	860001	870000	NA	0	NA	NA	NA
BBBB	CM043863.1	860001	870000	NA	0	NA	NA	NA
SSSS	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBSS	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBBB	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBBB	CM043863.1	880001	890000	NA	0	NA	NA	NA
SSSS	CM043863.1	880001	890000	NA	0	NA	NA	NA
BBSS	CM043863.1	880001	890000	NA	0	NA	NA	NA
BBSS	CM043863.1	890001	900000	NA	0	NA	NA	NA
SSSS	CM043863.1	890001	900000	NA	0	NA	NA	NA
BBBB	CM043863.1	890001	900000	NA	0	NA	NA	NA
BBSS	CM043863.1	900001	910000	NA	0	NA	NA	NA
SSSS	CM043863.1	900001	910000	NA	0	NA	NA	NA
BBBB	CM043863.1	900001	910000	NA	0	NA	NA	NA
BBBB	CM043863.1	910001	920000	NA	0	NA	NA	NA
BBSS	CM043863.1	910001	920000	NA	0	NA	NA	NA
SSSS	CM043863.1	910001	920000	NA	0	NA	NA	NA
BBBB	CM043863.1	920001	930000	NA	0	NA	NA	NA
BBSS	CM043863.1	920001	930000	NA	0	NA	NA	NA
SSSS	CM043863.1	920001	930000	NA	0	NA	NA	NA
SSSS	CM043863.1	930001	940000	NA	0	NA	NA	NA
BBBB	CM043863.1	930001	940000	NA	0	NA	NA	NA
BBSS	CM043863.1	930001	940000	NA	0	NA	NA	NA
SSSS	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBSS	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBBB	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBBB	CM043863.1	950001	960000	NA	0	NA	NA	NA
BBSS	CM043863.1	950001	960000	NA	0	NA	NA	NA
SSSS	CM043863.1	950001	960000	NA	0	NA	NA	NA
BBBB	CM043863.1	960001	970000	NA	0	NA	NA	NA
BBSS	CM043863.1	960001	970000	NA	0	NA	NA	NA
SSSS	CM043863.1	960001	970000	NA	0	NA	NA	NA
BBBB	CM043863.1	970001	980000	NA	0	NA	NA	NA
BBSS	CM043863.1	970001	980000	NA	0	NA	NA	NA
SSSS	CM043863.1	970001	980000	NA	0	NA	NA	NA
BBBB	CM043863.1	980001	990000	NA	0	NA	NA	NA
BBSS	CM043863.1	980001	990000	NA	0	NA	NA	NA
SSSS	CM043863.1	980001	990000	NA	0	NA	NA	NA
SSSS	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBSS	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBBB	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBBB	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
BBSS	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
SSSS	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
BBBB	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
BBSS	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
SSSS	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
BBBB	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
BBSS	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
SSSS	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
BBBB	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
BBSS	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
SSSS	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
BBSS	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
SSSS	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
BBBB	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
BBBB	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
BBSS	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
SSSS	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
BBBB	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
BBSS	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
SSSS	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
BBBB	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
BBSS	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
SSSS	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
BBBB	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
BBSS	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
SSSS	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
SSSS	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBSS	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBBB	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBBB	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
BBSS	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
SSSS	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
BBBB	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
BBSS	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
SSSS	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
BBBB	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
BBSS	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
SSSS	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
BBBB	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
BBSS	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
SSSS	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
BBSS	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
SSSS	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
BBBB	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
SSSS	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBSS	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBBB	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBBB	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
BBSS	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
SSSS	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
BBBB	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
BBSS	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
SSSS	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
SSSS	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBSS	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBBB	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBBB	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
BBSS	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
SSSS	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
BBBB	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
BBSS	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
SSSS	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
BBSS	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
SSSS	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
BBBB	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
BBBB	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
BBSS	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
SSSS	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
BBBB	CM043863.1	1230001	1240000	NA	0	NA	NA	NA
BBSS	CM043863.1	1230001	1240000	NA	0	NA	NA	NA
SSSS	CM043863.1	1230001	1240000	NA	0	NA	NA	NA
SSSS	CM043863.1	1240001	1250000	NA	0	NA	NA	NA
BBSS	CM043863.1	1240001	1250000	NA	0	NA	NA	NA
BBBB	CM043863.1	1240001	1250000	NA	0	NA	NA	NA
BBBB	CM043863.1	1250001	1260000	NA	0	NA	NA	NA
BBSS	CM043863.1	1250001	1260000	NA	0	NA	NA	NA
SSSS	CM043863.1	1250001	1260000	NA	0	NA	NA	NA
BBBB	CM043863.1	1260001	1270000	NA	0	NA	NA	NA
BBSS	CM043863.1	1260001	1270000	NA	0	NA	NA	NA
SSSS	CM043863.1	1260001	1270000	NA	0	NA	NA	NA
BBSS	CM043863.1	1270001	1280000	NA	0	NA	NA	NA
SSSS	CM043863.1	1270001	1280000	NA	0	NA	NA	NA
BBBB	CM043863.1	1270001	1280000	NA	0	NA	NA	NA
SSSS	CM043863.1	1280001	1290000	NA	0	NA	NA	NA
BBSS	CM043863.1	1280001	1290000	NA	0	NA	NA	NA
BBBB	CM043863.1	1280001	1290000	NA	0	NA	NA	NA
BBBB	CM043863.1	1290001	1300000	NA	0	NA	NA	NA
BBSS	CM043863.1	1290001	1300000	NA	0	NA	NA	NA
SSSS	CM043863.1	1290001	1300000	NA	0	NA	NA	NA
BBBB	CM043863.1	1300001	1310000	0.0	226	0	10000	170
BBSS	CM043863.1	1300001	1310000	0.0	226	0	14916	0
SSSS	CM043863.1	1300001	1310000	0.0	226	0	34479	99
SSSS	CM043863.1	1310001	1320000	0.0	18	0	2688	66
BBSS	CM043863.1	1310001	1320000	0.0	18	0	1188	0
BBBB	CM043863.1	1310001	1320000	0.0	18	0	491	319
BBBB	CM043863.1	1320001	1330000	NA	0	NA	NA	NA
BBSS	CM043863.1	1320001	1330000	NA	0	NA	NA	NA
SSSS	CM043863.1	1320001	1330000	NA	0	NA	NA	NA
BBBB	CM043863.1	1330001	1340000	NA	0	NA	NA	NA
BBSS	CM043863.1	1330001	1340000	NA	0	NA	NA	NA
SSSS	CM043863.1	1330001	1340000	NA	0	NA	NA	NA
BBSS	CM043863.1	1340001	1350000	NA	0	NA	NA	NA
SSSS	CM043863.1	1340001	1350000	NA	0	NA	NA	NA
BBBB	CM043863.1	1340001	1350000	NA	0	NA	NA	NA
BBBB	CM043863.1	1350001	1360000	NA	0	NA	NA	NA
BBSS	CM043863.1	1350001	1360000	NA	0	NA	NA	NA
SSSS	CM043863.1	1350001	1360000	NA	0	NA	NA	NA
BBBB	CM043863.1	1360001	1370000	NA	0	NA	NA	NA
BBSS	CM043863.1	1360001	1370000	NA	0	NA	NA	NA
SSSS	CM043863.1	1360001	1370000	NA	0	NA	NA	NA
SSSS	CM043863.1	1370001	1380000	NA	0	NA	NA	NA
BBSS	CM043863.1	1370001	1380000	NA	0	NA	NA	NA
BBBB	CM043863.1	1370001	1380000	NA	0	NA	NA	NA
BBBB	CM043863.1	1380001	1390000	NA	0	NA	NA	NA
BBSS	CM043863.1	1380001	1390000	NA	0	NA	NA	NA
SSSS	CM043863.1	1380001	1390000	NA	0	NA	NA	NA
BBBB	CM043863.1	1390001	1400000	NA	0	NA	NA	NA
BBSS	CM043863.1	1390001	1400000	NA	0	NA	NA	NA
SSSS	CM043863.1	1390001	1400000	NA	0	NA	NA	NA
BBSS	CM043863.1	1400001	1410000	NA	0	NA	NA	NA
SSSS	CM043863.1	1400001	1410000	NA	0	NA	NA	NA
BBBB	CM043863.1	1400001	1410000	NA	0	NA	NA	NA
SSSS	CM043863.1	1410001	1420000	NA	0	NA	NA	NA
BBSS	CM043863.1	1410001	1420000	NA	0	NA	NA	NA
BBBB	CM043863.1	1410001	1420000	NA	0	NA	NA	NA
