pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
BBSS	SSSS	CM043863.1	580001	590000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	590001	600000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	590001	600000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	590001	600000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	600001	610000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	600001	610000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	600001	610000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	610001	620000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	610001	620000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	610001	620000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	620001	630000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	620001	630000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	620001	630000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	630001	640000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	640001	650000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	640001	650000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	640001	650000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	650001	660000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	650001	660000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	650001	660000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	660001	670000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	660001	670000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	660001	670000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	670001	680000	0.0	351	0	67032	8784
BBBB	SSSS	CM043863.1	670001	680000	0.0	351	0	53556	9624
BBBB	BBSS	CM043863.1	670001	680000	0.0	351	0	40392	1728
BBSS	SSSS	CM043863.1	680001	690000	0.0	119	0	20064	5640
BBBB	SSSS	CM043863.1	680001	690000	0.0	119	0	16624	4796
BBBB	BBSS	CM043863.1	680001	690000	0.0	119	0	14208	72
BBBB	SSSS	CM043863.1	690001	700000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	690001	700000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	690001	700000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	700001	710000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	700001	710000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	700001	710000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	710001	720000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	710001	720000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	710001	720000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	720001	730000	0.0	180	0	15540	6060
BBBB	SSSS	CM043863.1	720001	730000	0.0	180	0	32400	0
BBSS	SSSS	CM043863.1	720001	730000	0.0	180	0	27972	10908
BBBB	BBSS	CM043863.1	730001	740000	0.0	38	0	3060	1500
BBBB	SSSS	CM043863.1	730001	740000	0.0	38	0	6840	0
BBSS	SSSS	CM043863.1	730001	740000	0.0	38	0	5508	2700
BBBB	BBSS	CM043863.1	740001	750000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	740001	750000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	740001	750000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	750001	760000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	750001	760000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	750001	760000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	760001	770000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	760001	770000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	760001	770000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	770001	780000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	770001	780000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	770001	780000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	780001	790000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	780001	790000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	780001	790000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	790001	800000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	790001	800000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	790001	800000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	800001	810000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	800001	810000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	800001	810000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	810001	820000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	810001	820000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	810001	820000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	820001	830000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	820001	830000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	820001	830000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	830001	840000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	840001	850000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	840001	850000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	840001	850000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	850001	860000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	850001	860000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	850001	860000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	860001	870000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	860001	870000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	860001	870000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	870001	880000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	880001	890000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	880001	890000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	880001	890000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	890001	900000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	890001	900000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	890001	900000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	900001	910000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	900001	910000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	900001	910000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	910001	920000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	910001	920000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	910001	920000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	920001	930000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	920001	930000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	920001	930000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	930001	940000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	930001	940000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	930001	940000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	940001	950000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	950001	960000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	950001	960000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	950001	960000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	960001	970000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	960001	970000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	960001	970000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	970001	980000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	970001	980000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	970001	980000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	980001	990000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	980001	990000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	980001	990000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	990001	1000000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1000001	1010000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1010001	1020000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1020001	1030000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1030001	1040000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1040001	1050000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1050001	1060000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1060001	1070000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1070001	1080000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1080001	1090000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1090001	1100000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1100001	1110000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1110001	1120000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1120001	1130000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1130001	1140000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1140001	1150000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1150001	1160000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1160001	1170000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1170001	1180000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1180001	1190000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1190001	1200000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1200001	1210000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1210001	1220000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1220001	1230000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	1230001	1240000	NA	0	NA	NA	NA
