pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
CCPP	WWLL	chr19	5600001	5610000	-0.0272840016535758	1
CCPP	PPLL	chr19	5600001	5610000	NA	1
CCPP	PPLL	chr19	5650001	5660000	0.0011524949507095	6
CCPP	WWLL	chr19	5650001	5660000	0.4313332828809109	6
PPLL	WWLL	chr19	5650001	5660000	0.4421684842737475	6
CCPP	PPLL	chr19	5690001	5700000	0.014235075676588	2
CCPP	WWLL	chr19	5690001	5700000	0.5454545454545454	2
PPLL	WWLL	chr19	5690001	5700000	0.4413454507468923	2
CCPP	PPLL	chr19	5700001	5710000	0.4782608695652175	1
CCPP	WWLL	chr19	5700001	5710000	1.0	1
PPLL	WWLL	chr19	5700001	5710000	0.52	1
CCPP	WWLL	chr19	5720001	5730000	NA	2
PPLL	WWLL	chr19	5720001	5730000	NA	2
CCPP	PPLL	chr19	5720001	5730000	NA	2
CCPP	WWLL	chr19	5760001	5770000	-0.0275391116957263	1
PPLL	WWLL	chr19	5760001	5770000	-0.0132656362776574	1
CCPP	PPLL	chr19	5760001	5770000	-0.0371801062288749	1
CCPP	PPLL	chr19	5940001	5950000	0.4782608695652175	2
CCPP	WWLL	chr19	5940001	5950000	1.0	2
PPLL	WWLL	chr19	5940001	5950000	0.52	2
CCPP	PPLL	chr19	5960001	5970000	-0.0171073094867806	1
CCPP	WWLL	chr19	5960001	5970000	NA	1
PPLL	WWLL	chr19	5960001	5970000	0.013978494623656	1
PPLL	WWLL	chr19	6080001	6090000	0.0	2
CCPP	PPLL	chr19	6080001	6090000	0.5	2
CCPP	WWLL	chr19	6080001	6090000	0.5	2
CCPP	PPLL	chr19	6090001	6100000	0.4615384615384614	2
CCPP	WWLL	chr19	6090001	6100000	0.8208955223880599	2
PPLL	WWLL	chr19	6090001	6100000	0.5098039215686275	2
CCPP	WWLL	chr19	6110001	6120000	0.9256693726058391	9
PPLL	WWLL	chr19	6110001	6120000	0.5021808883986765	9
CCPP	PPLL	chr19	6110001	6120000	0.4137946697987708	9
PPLL	WWLL	chr19	6140001	6150000	0.013978494623656	1
CCPP	PPLL	chr19	6140001	6150000	-0.0171073094867806	1
CCPP	WWLL	chr19	6140001	6150000	NA	1
PPLL	WWLL	chr19	6210001	6220000	0.4814814814814814	1
CCPP	PPLL	chr19	6210001	6220000	NA	1
CCPP	WWLL	chr19	6210001	6220000	0.4615384615384614	1
CCPP	PPLL	chr19	6360001	6370000	0.4399999999999999	1
CCPP	WWLL	chr19	6360001	6370000	1.0	1
PPLL	WWLL	chr19	6360001	6370000	0.5000000000000001	1
CCPP	WWLL	chr19	6910001	6920000	0.4217503953699653	2
PPLL	WWLL	chr19	6910001	6920000	0.4424184261036468	2
CCPP	PPLL	chr19	6910001	6920000	NA	2
PPLL	WWLL	chr19	6920001	6930000	0.0	1
CCPP	WWLL	chr19	6920001	6930000	0.4615384615384614	1
CCPP	PPLL	chr19	6920001	6930000	0.4782608695652175	1
CCPP	PPLL	chr19	6940001	6950000	0.4782608695652175	1
PPLL	WWLL	chr19	6940001	6950000	0.52	1
CCPP	WWLL	chr19	6940001	6950000	1.0	1
CCPP	PPLL	chr19	6990001	7000000	0.4615384615384614	1
CCPP	WWLL	chr19	6990001	7000000	1.0	1
PPLL	WWLL	chr19	6990001	7000000	0.5000000000000001	1
CCPP	WWLL	chr19	7020001	7030000	0.0728476821192052	2
PPLL	WWLL	chr19	7020001	7030000	NA	2
CCPP	PPLL	chr19	7020001	7030000	0.0399999999999999	2
CCPP	WWLL	chr19	7190001	7200000	-0.0171073094867806	1
CCPP	PPLL	chr19	7190001	7200000	NA	1
PPLL	WWLL	chr19	7190001	7200000	0.013978494623656	1
PPLL	WWLL	chr19	7200001	7210000	2.4286128663675305e-17	1
CCPP	PPLL	chr19	7200001	7210000	-0.0272840016535758	1
CCPP	WWLL	chr19	7200001	7210000	NA	1
CCPP	PPLL	chr19	7370001	7380000	0.1482413465302242	1
CCPP	WWLL	chr19	7370001	7380000	0.0407407407407406	1
PPLL	WWLL	chr19	7370001	7380000	-0.0459770114942529	1
CCPP	PPLL	chr19	7380001	7390000	NA	1
CCPP	WWLL	chr19	7380001	7390000	-0.0478677110530895	1
PPLL	WWLL	chr19	7380001	7390000	2.4286128663675305e-17	1
PPLL	WWLL	chr19	8740001	8750000	-0.0512820512820513	6
CCPP	WWLL	chr19	8740001	8750000	-0.0754055285379782	6
CCPP	PPLL	chr19	8740001	8750000	-0.0735553268498621	6
CCPP	WWLL	chr19	8770001	8780000	1.0	1
CCPP	PPLL	chr19	8770001	8780000	0.6273900964209838	1
PPLL	WWLL	chr19	8770001	8780000	0.3217482885729331	1
PPLL	WWLL	chr19	8780001	8790000	-0.0240699685726118	1
CCPP	WWLL	chr19	8780001	8790000	0.5215071690563521	1
CCPP	PPLL	chr19	8780001	8790000	0.5480880648899188	1
CCPP	PPLL	chr19	8810001	8820000	0.5215071690563521	1
CCPP	WWLL	chr19	8810001	8820000	1.0	1
PPLL	WWLL	chr19	8810001	8820000	0.3970811069463275	1
PPLL	WWLL	chr19	8900001	8910000	2.4286128663675305e-17	1
CCPP	WWLL	chr19	8900001	8910000	-0.0272840016535758	1
CCPP	PPLL	chr19	8900001	8910000	NA	1
CCPP	PPLL	chr19	8950001	8960000	0.2444444444444445	2
PPLL	WWLL	chr19	8950001	8960000	0.52	2
CCPP	WWLL	chr19	8950001	8960000	0.8571428571428571	2
CCPP	WWLL	chr19	8960001	8970000	0.5238095238095237	1
CCPP	PPLL	chr19	8960001	8970000	0.5454545454545454	1
PPLL	WWLL	chr19	8960001	8970000	NA	1
CCPP	PPLL	chr19	9870001	9880000	0.0370578326782706	1
CCPP	WWLL	chr19	9870001	9880000	0.0370578326782706	1
PPLL	WWLL	chr19	9870001	9880000	NA	1
PPLL	WWLL	chr19	9890001	9900000	NA	1
CCPP	WWLL	chr19	9890001	9900000	0.4256220222339863	1
CCPP	PPLL	chr19	9890001	9900000	0.4016028495102404	1
CCPP	PPLL	chr19	10500001	10510000	0.4782608695652176	5
PPLL	WWLL	chr19	10500001	10510000	0.5199999999999999	5
CCPP	WWLL	chr19	10500001	10510000	1.0	5
PPLL	WWLL	chr19	10520001	10530000	0.52	1
CCPP	WWLL	chr19	10520001	10530000	1.0	1
CCPP	PPLL	chr19	10520001	10530000	0.4782608695652175	1
PPLL	WWLL	chr19	10530001	10540000	0.0277777777777777	2
CCPP	WWLL	chr19	10530001	10540000	0.0728476821192052	2
CCPP	PPLL	chr19	10530001	10540000	-0.2199170124481327	2
CCPP	PPLL	chr19	10550001	10560000	0.4370612689974785	3
CCPP	WWLL	chr19	10550001	10560000	1.0	3
PPLL	WWLL	chr19	10550001	10560000	0.4840425531914894	3
CCPP	WWLL	chr19	10620001	10630000	-0.0272840016535758	3
CCPP	PPLL	chr19	10620001	10630000	0.1025641025641025	3
PPLL	WWLL	chr19	10620001	10630000	0.021505376344086	3
PPLL	WWLL	chr19	10710001	10720000	0.3854047890535918	5
CCPP	WWLL	chr19	10710001	10720000	0.9357798165137614	5
CCPP	PPLL	chr19	10710001	10720000	0.4667724287699188	5
PPLL	WWLL	chr19	10940001	10950000	0.4215481171548116	1
CCPP	WWLL	chr19	10940001	10950000	1.0	1
CCPP	PPLL	chr19	10940001	10950000	0.5480880648899188	1
CCPP	PPLL	chr19	11990001	12000000	0.4615384615384614	1
CCPP	WWLL	chr19	11990001	12000000	0.5480880648899188	1
PPLL	WWLL	chr19	11990001	12000000	0.0021623419827012	1
CCPP	PPLL	chr19	12790001	12800000	0.0370578326782706	1
CCPP	WWLL	chr19	12790001	12800000	0.0370578326782706	1
PPLL	WWLL	chr19	12790001	12800000	NA	1
PPLL	WWLL	chr19	16610001	16620000	0.2493581030055882	4
CCPP	WWLL	chr19	16610001	16620000	0.8525280898876404	4
CCPP	PPLL	chr19	16610001	16620000	0.3286533517895986	4
CCPP	PPLL	chr19	16780001	16790000	-0.1307981817293123	1
CCPP	WWLL	chr19	16780001	16790000	0.0728476821192052	1
PPLL	WWLL	chr19	16780001	16790000	0.0833333333333334	1
CCPP	PPLL	chr19	17920001	17930000	NA	2
CCPP	WWLL	chr19	17920001	17930000	0.3588853199062419	2
PPLL	WWLL	chr19	17920001	17930000	0.4000000000000001	2
CCPP	PPLL	chr19	24270001	24280000	-0.0904421295185061	1
CCPP	WWLL	chr19	24270001	24280000	-0.0616902903650697	1
PPLL	WWLL	chr19	24270001	24280000	-0.1351351351351351	1
CCPP	PPLL	chr19	32700001	32710000	-0.0171073094867806	2
CCPP	WWLL	chr19	32700001	32710000	NA	2
PPLL	WWLL	chr19	32700001	32710000	0.013978494623656	2
PPLL	WWLL	chr19	34960001	34970000	-0.0121268656716417	1
CCPP	PPLL	chr19	34960001	34970000	-0.0272840016535758	1
CCPP	WWLL	chr19	34960001	34970000	NA	1
CCPP	WWLL	chr19	37330001	37340000	0.5705521472392637	1
PPLL	WWLL	chr19	37330001	37340000	0.4215481171548116	1
CCPP	PPLL	chr19	37330001	37340000	-0.0460151029499647	1
CCPP	PPLL	chr19	39050001	39060000	0.0201834862385321	1
CCPP	WWLL	chr19	39050001	39060000	0.0370578326782706	1
PPLL	WWLL	chr19	39050001	39060000	NA	1
PPLL	WWLL	chr19	40590001	40600000	0.25	2
CCPP	PPLL	chr19	40590001	40600000	0.4505119453924914	2
CCPP	WWLL	chr19	40590001	40600000	0.8183314343587795	2
CCPP	WWLL	chr19	40600001	40610000	0.3523988123144241	1
CCPP	PPLL	chr19	40600001	40610000	NA	1
PPLL	WWLL	chr19	40600001	40610000	0.4166666666666666	1
CCPP	PPLL	chr19	41780001	41790000	NA	1
CCPP	WWLL	chr19	41780001	41790000	NA	1
PPLL	WWLL	chr19	41780001	41790000	NA	1
PPLL	WWLL	chr19	41880001	41890000	0.2016241129563245	2
CCPP	PPLL	chr19	41880001	41890000	-0.0142245569749791	2
CCPP	WWLL	chr19	41880001	41890000	-0.0991953385127635	2
PPLL	WWLL	chr19	42170001	42180000	-0.0827401390168327	2
CCPP	WWLL	chr19	42170001	42180000	-0.0272840016535758	2
CCPP	PPLL	chr19	42170001	42180000	-0.0171073094867806	2
CCPP	PPLL	chr19	42590001	42600000	0.5	2
CCPP	WWLL	chr19	42590001	42600000	0.8571428571428571	2
PPLL	WWLL	chr19	42590001	42600000	0.5000000000000001	2
CCPP	PPLL	chr19	44110001	44120000	0.5454545454545454	1
CCPP	WWLL	chr19	44110001	44120000	0.5454545454545454	1
PPLL	WWLL	chr19	44110001	44120000	NA	1
PPLL	WWLL	chr19	44570001	44580000	NA	1
CCPP	WWLL	chr19	44570001	44580000	0.5454545454545454	1
CCPP	PPLL	chr19	44570001	44580000	0.5238095238095237	1
CCPP	PPLL	chr19	45810001	45820000	0.4676836053412464	6
CCPP	WWLL	chr19	45810001	45820000	0.9	6
PPLL	WWLL	chr19	45810001	45820000	0.4292776166622725	6
CCPP	PPLL	chr19	46330001	46340000	0.4615384615384614	1
CCPP	WWLL	chr19	46330001	46340000	1.0	1
PPLL	WWLL	chr19	46330001	46340000	0.5000000000000001	1
PPLL	WWLL	chr19	46370001	46380000	0.0277777777777777	1
CCPP	PPLL	chr19	46370001	46380000	NA	1
CCPP	WWLL	chr19	46370001	46380000	-0.0344827586206897	1
CCPP	PPLL	chr19	46480001	46490000	0.4240279716568813	8
CCPP	WWLL	chr19	46480001	46490000	0.9166258326500708	8
PPLL	WWLL	chr19	46480001	46490000	0.3826103683754929	8
CCPP	PPLL	chr19	46650001	46660000	0.5	2
CCPP	WWLL	chr19	46650001	46660000	0.8571428571428571	2
PPLL	WWLL	chr19	46650001	46660000	0.52	2
CCPP	PPLL	chr19	46880001	46890000	0.4782608695652175	1
CCPP	WWLL	chr19	46880001	46890000	1.0	1
PPLL	WWLL	chr19	46880001	46890000	0.52	1
CCPP	PPLL	chr19	46890001	46900000	NA	1
CCPP	WWLL	chr19	46890001	46900000	NA	1
PPLL	WWLL	chr19	46890001	46900000	NA	1
PPLL	WWLL	chr19	47730001	47740000	0.0833333333333334	2
CCPP	PPLL	chr19	47730001	47740000	-0.0690933931882502	2
CCPP	WWLL	chr19	47730001	47740000	0.1717116125481562	2
CCPP	PPLL	chr19	53370001	53380000	0.3763991045730732	1
CCPP	WWLL	chr19	53370001	53380000	1.0	1
PPLL	WWLL	chr19	53370001	53380000	0.592303155411383	1
CCPP	PPLL	chr19	53920001	53930000	-0.0121326344307674	1
CCPP	WWLL	chr19	53920001	53930000	-0.0121326344307674	1
PPLL	WWLL	chr19	53920001	53930000	-0.1083333333333333	1
CCPP	PPLL	chr19	55300001	55310000	-0.0171073094867806	1
CCPP	WWLL	chr19	55300001	55310000	NA	1
PPLL	WWLL	chr19	55300001	55310000	0.013978494623656	1
CCPP	WWLL	chr19	56780001	56790000	1.0	3
CCPP	PPLL	chr19	56780001	56790000	0.3966566322936015	3
PPLL	WWLL	chr19	56780001	56790000	0.6060985490167194	3
CCPP	WWLL	chr19	59900001	59910000	-0.0171073094867806	1
CCPP	PPLL	chr19	59900001	59910000	NA	1
PPLL	WWLL	chr19	59900001	59910000	0.013978494623656	1
CCPP	WWLL	chr19	61170001	61180000	NA	1
CCPP	PPLL	chr19	61170001	61180000	-0.0171073094867806	1
PPLL	WWLL	chr19	61170001	61180000	0.013978494623656	1
