gene_id	chr	start	stop	gene
ENSMUSG00000103936	1	5617837	5618230	Gm36965
ENSMUSG00000093015	1	5644645	5644745	Gm22463
ENSMUSG00000103519	1	5842874	5844672	Gm37429
ENSMUSG00000033774	1	5913707	5917398	Npbwr1
ENSMUSG00000103090	1	6048963	6050045	Gm19214
ENSMUSG00000025907	1	6206197	6276648	Rb1cc1
ENSMUSG00000090031	1	6209866	6215293	4732440D04Rik
ENSMUSG00000087247	1	6359218	6394731	Alkal1
ENSMUSG00000103355	1	6380394	6381032	Gm2147
ENSMUSG00000102706	1	6382634	6383106	Gm7417
ENSMUSG00000103845	1	6429655	6441296	Gm19026
ENSMUSG00000033740	1	6487231	6860940	St18
ENSMUSG00000103329	1	6861237	6864151	Gm42492
ENSMUSG00000104385	1	6910560	6911222	Gm7449
ENSMUSG00000102135	1	6916559	6923588	Gm37108
ENSMUSG00000103282	1	6929759	6929788	Gm37275
ENSMUSG00000102534	1	6998217	6998541	Gm37225
ENSMUSG00000102213	1	7013762	7013920	Gm37489
ENSMUSG00000103629	1	7035915	7037217	Gm5694
ENSMUSG00000051285	1	7088920	7173628	Pcmtd1
ENSMUSG00000098201	1	7136199	7136586	Gm26983
ENSMUSG00000103509	1	7148110	7152137	Gm38372
ENSMUSG00000048538	1	7177739	7179037	Gm9826
ENSMUSG00000103709	1	7189742	7189919	Nras-ps2
ENSMUSG00000077244	1	7265803	7265932	Gm23274
ENSMUSG00000102768	1	7315451	7316462	Gm19002
ENSMUSG00000097797	1	7349406	7397869	Gm26901
ENSMUSG00000103498	1	7410679	7411993	Gm18984
ENSMUSG00000103067	1	7497968	7518149	Gm30414
ENSMUSG00000102320	1	7591646	7591931	Gm37791
ENSMUSG00000104226	1	7597379	7599473	Gm7470
ENSMUSG00000103903	1	7664081	7664961	Rps2-ps2
ENSMUSG00000103557	1	7728861	7730565	Gm38216
ENSMUSG00000025909	1	8361475	9299878	Sntg1
ENSMUSG00000102647	1	8450960	8453491	Gm38024
ENSMUSG00000086235	1	8468426	8468825	Gm16284
ENSMUSG00000102253	1	8527780	8531313	Gm38259
ENSMUSG00000093970	1	8588615	8588724	Gm23358
ENSMUSG00000103884	1	8643696	8644859	Gm37005
ENSMUSG00000084353	1	8791923	8792162	Gm15452
ENSMUSG00000103933	1	8815842	8816039	Gm36964
ENSMUSG00000076135	1	8816138	8816247	Gm24276
ENSMUSG00000086195	1	8855928	8856267	Gm6152
ENSMUSG00000104504	1	8856763	8857102	Gm7445
ENSMUSG00000066693	1	8962996	8963621	Gm7493
ENSMUSG00000102316	1	9191067	9192116	Gm37629
ENSMUSG00000103819	1	9258617	9259134	Gm38008
ENSMUSG00000102871	1	9286922	9290180	Gm37143
ENSMUSG00000101571	1	9396773	9398687	Gm6187
ENSMUSG00000104428	1	9439741	9440376	Gm18299
ENSMUSG00000102272	1	9450579	9451748	Gm7512
ENSMUSG00000065625	1	9458670	9458772	Gm24765
ENSMUSG00000103411	1	9499338	9501522	Gm18300
ENSMUSG00000061024	1	9545408	9547455	Rrs1
ENSMUSG00000025911	1	9547948	9580673	Adhfe1
ENSMUSG00000079671	1	9560832	9631175	2610203C22Rik
ENSMUSG00000081441	1	9574548	9575649	Gm6161
ENSMUSG00000067879	1	9601199	9627143	Vxn
ENSMUSG00000099827	1	9639255	9640582	Gm29520
ENSMUSG00000025912	1	9667415	9700209	Mybl1
ENSMUSG00000045210	1	9718622	9748382	Vcpip1
ENSMUSG00000097893	1	9747648	9791924	1700034P13Rik
ENSMUSG00000025915	1	9798107	9900845	Sgk3
ENSMUSG00000046334	1	9802197	9802553	Gm6195
ENSMUSG00000088916	1	9834498	9834602	Gm22607
ENSMUSG00000046101	1	9908638	9942085	Mcmdc2
ENSMUSG00000098234	1	9941959	9944118	Snhg6
ENSMUSG00000093178	1	9942463	9942549	Snord87
ENSMUSG00000099032	1	9960163	9967932	Tcf24
ENSMUSG00000104025	1	9967314	9968687	E330040D14Rik
ENSMUSG00000025916	1	9968624	10009136	Ppp1r42
ENSMUSG00000087199	1	9982387	9992366	Gm15818
ENSMUSG00000095780	1	10009814	10009917	Gm24674
ENSMUSG00000025917	1	10024601	10038168	Cops5
ENSMUSG00000056763	1	10037987	10136768	Cspp1
ENSMUSG00000102356	1	10057025	10057944	1700047N06Rik
ENSMUSG00000067851	1	10137571	10232670	Arfgef1
ENSMUSG00000088153	1	10166539	10166778	Gm26348
ENSMUSG00000102556	1	10197081	10198802	Gm37569
ENSMUSG00000042501	1	10324720	10719945	Cpa6
ENSMUSG00000103810	1	10449245	10451989	Gm38005
ENSMUSG00000083422	1	10554098	10555553	Gm15604
ENSMUSG00000094979	1	10555554	10555660	Gm25253
ENSMUSG00000081417	1	10695123	10695614	Gm15603
ENSMUSG00000103448	1	10782456	10784377	Gm37133
ENSMUSG00000100212	1	10805281	10806522	Gm5522
ENSMUSG00000100648	1	10868688	10869446	Gm28659
ENSMUSG00000088585	1	10921670	10921760	Gm22963
ENSMUSG00000048960	1	10993465	11303681	Prex2
ENSMUSG00000077318	1	11134111	11134238	Gm24173
ENSMUSG00000101827	1	11223566	11224174	Gm28686
ENSMUSG00000103494	1	11363926	11366964	Gm37410
ENSMUSG00000057715	1	11414105	11975901	A830018L16Rik
ENSMUSG00000103825	1	11416918	11419388	Gm38178
ENSMUSG00000099845	1	11608139	11608400	Gm29273
ENSMUSG00000103561	1	11704207	11706350	Gm38069
ENSMUSG00000101610	1	12120960	12121832	Gm7560
ENSMUSG00000093864	1	12374936	12375042	Gm22633
ENSMUSG00000098555	1	12425986	12426106	Mir6341
ENSMUSG00000097628	1	12565577	12566383	Gm2383
ENSMUSG00000098163	1	12655867	12656553	Gm6216
ENSMUSG00000097171	1	12667563	12673090	Gm17644
ENSMUSG00000101314	1	12670324	12671176	Gm29663
ENSMUSG00000016918	1	12692277	12861192	Sulf1
ENSMUSG00000025938	1	12866549	12992650	Slco5a1
ENSMUSG00000104518	1	13059401	13059951	Gm37162
ENSMUSG00000069620	1	13062025	13062345	Gm5250
ENSMUSG00000099498	1	13068838	13078662	Gm29283
ENSMUSG00000042414	1	13113457	13127163	Prdm14
ENSMUSG00000005886	1	13139105	13374083	Ncoa2
ENSMUSG00000103506	1	13177462	13179714	Gm38376
ENSMUSG00000103495	1	13234809	13236434	Gm37409
ENSMUSG00000099183	1	13262198	13262279	Gm27881
ENSMUSG00000102639	1	13289812	13290506	Gm38223
ENSMUSG00000104170	1	13297036	13298907	Gm37702
ENSMUSG00000087782	1	13334498	13334609	Gm23169
ENSMUSG00000103085	1	13343563	13348204	Gm38120
ENSMUSG00000102664	1	13354483	13356730	Gm38380
ENSMUSG00000101476	1	13376070	13388413	Gm29570
ENSMUSG00000101171	1	13407012	13407655	Gm7593
ENSMUSG00000025935	1	13564698	13589910	Tram1
ENSMUSG00000025937	1	13623330	13660546	Lactb2
ENSMUSG00000102982	1	13641483	13642748	Gm38319
ENSMUSG00000067813	1	13668771	13701723	Xkr9
ENSMUSG00000077368	1	13774334	13774464	Gm26273
ENSMUSG00000097711	1	13785883	13786879	Gm5523
ENSMUSG00000102166	1	13846871	13849119	Gm36947
ENSMUSG00000089358	1	13932378	13932685	Gm25491
ENSMUSG00000104209	1	14109215	14112819	Gm37400
ENSMUSG00000025932	1	14168954	14310235	Eya1
ENSMUSG00000095853	1	14182578	14182677	Gm22616
ENSMUSG00000102588	1	14255552	14255990	Gm37444
ENSMUSG00000054493	1	14752937	14776931	Gm9947
ENSMUSG00000025930	1	14753346	14755992	Msc
ENSMUSG00000103492	1	14788645	14792965	Gm37412
ENSMUSG00000081201	1	14839869	14840156	Smt3h2-ps4
ENSMUSG00000082193	1	14865072	14865965	Rpl5-ps1
ENSMUSG00000032769	1	14872648	14918862	Trpa1
ENSMUSG00000088159	1	15019040	15019159	Gm26345
ENSMUSG00000073737	1	15268802	15269797	Gm10566
ENSMUSG00000092083	1	15287254	15723750	Kcnb2
ENSMUSG00000102937	1	15364302	15365834	Gm38116
ENSMUSG00000104149	1	15556249	15558337	Gm37138
ENSMUSG00000088829	1	15685935	15686046	Gm25227
ENSMUSG00000077377	1	15757832	15757963	Gm25168
ENSMUSG00000101652	1	15760122	15760668	Gm6060
ENSMUSG00000100814	1	15760761	15760860	Gm28669
ENSMUSG00000025925	1	15805646	15844052	Terf1
ENSMUSG00000104379	1	15853331	15856499	Gm37509
ENSMUSG00000032719	1	15853862	15892722	Sbspon
ENSMUSG00000088943	1	15879530	15879832	Gm23259
ENSMUSG00000100652	1	16053335	16053887	Gm7634
ENSMUSG00000067795	1	16065979	16093325	4930444P10Rik
ENSMUSG00000043716	1	16101295	16104662	Rpl7
ENSMUSG00000025921	1	16105774	16133734	Rdh10
ENSMUSG00000104165	1	16208197	16210517	Gm38249
ENSMUSG00000100868	1	16228506	16244062	Gm28095
ENSMUSG00000025920	1	16228674	16520112	Stau2
ENSMUSG00000089982	1	16253592	16267921	Gm7568
ENSMUSG00000025939	1	16540790	16619489	Ube2w
ENSMUSG00000102457	1	16618560	16621539	Gm38342
ENSMUSG00000079658	1	16641725	16657042	Eloc
ENSMUSG00000097744	1	16657552	16662278	D030040B21Rik
ENSMUSG00000100959	1	16662980	16663662	Gm7654
ENSMUSG00000025940	1	16665207	16678275	Tmem70
ENSMUSG00000025779	1	16688051	16709611	Ly96
ENSMUSG00000100093	1	16758205	16758623	Gm29649
ENSMUSG00000091020	1	16768279	16770138	Gm5828
ENSMUSG00000101640	1	16898185	17091631	Gm28376
ENSMUSG00000104133	1	16930970	16931796	4921511E07Rik
ENSMUSG00000042686	1	16964560	17097889	Jph1
ENSMUSG00000100110	1	17124747	17128956	Gm28783
ENSMUSG00000025777	1	17145362	17164271	Gdap1
ENSMUSG00000099899	1	17168403	17173103	Gm28784
ENSMUSG00000100272	1	17250114	17250492	Gm28785
ENSMUSG00000100398	1	17394958	17395429	Gm5251
ENSMUSG00000101589	1	17397412	17400281	Rbm6-ps1
ENSMUSG00000102048	1	17429043	17429528	Gm6075
ENSMUSG00000089534	1	17520001	17520111	Gm25166
ENSMUSG00000067780	1	17601901	17630939	Pi15
ENSMUSG00000100053	1	17615084	17641081	Gm28154
ENSMUSG00000085125	1	17676027	17727646	Gm16070
ENSMUSG00000025776	1	17727045	17766344	Crispld1
ENSMUSG00000099895	1	17741915	17805417	Gm28153
ENSMUSG00000100554	1	17947041	17948439	Gm7690
ENSMUSG00000099473	1	17993010	17999622	Gm18775
ENSMUSG00000099591	1	17993813	17997483	Gm17969
ENSMUSG00000109887	1	17994462	18059056	Gm28756
ENSMUSG00000102001	1	18005961	18016186	Gm28755
ENSMUSG00000101717	1	18048100	18058269	Gm45784
ENSMUSG00000025774	1	18115191	18145902	Crisp4
ENSMUSG00000070977	1	18210053	18223564	Defb44-ps
ENSMUSG00000073735	1	18236473	18237443	Defb18
ENSMUSG00000067773	1	18250980	18265138	Defb41
ENSMUSG00000101685	1	18262395	18263379	Gm17837
ENSMUSG00000101306	1	18708428	18709336	Gm5252
ENSMUSG00000088800	1	18969762	18969833	Gm24075
ENSMUSG00000101644	1	19037266	19037377	Gm28343
ENSMUSG00000099433	1	19062857	19063135	Gm28344
ENSMUSG00000089787	1	19063300	19104840	Gm15825
ENSMUSG00000042596	1	19103022	19166346	Tfap2d
ENSMUSG00000100720	1	19153422	19153966	Gm10075
ENSMUSG00000025927	1	19208914	19238576	Tfap2b
ENSMUSG00000100538	1	19242725	19243769	Gm28340
ENSMUSG00000101117	1	19320226	19320697	Gm28341
ENSMUSG00000100204	1	19330939	19333184	Gm4849
ENSMUSG00000084668	1	19513855	19513919	Gm24633
ENSMUSG00000102597	1	19614269	19616767	Gm38382
ENSMUSG00000043760	1	20057779	20618064	Pkhd1
ENSMUSG00000104095	1	20062070	20065548	Gm37315
ENSMUSG00000089914	1	20356452	20392300	4930486I03Rik
ENSMUSG00000090142	1	20444258	20444810	Gm15795
ENSMUSG00000070175	1	20444811	20444912	Gm24162
ENSMUSG00000099906	1	20669882	20684298	Gm28653
ENSMUSG00000065559	1	20679010	20679082	Mir206
ENSMUSG00000065480	1	20682769	20682887	Mir133b
ENSMUSG00000025929	1	20730905	20734496	Il17a
ENSMUSG00000041872	1	20777146	20790617	Il17f
ENSMUSG00000041859	1	20802968	20820312	Mcm3
ENSMUSG00000099714	1	20821331	20822516	Gm20587
ENSMUSG00000102121	1	20836661	20839689	Gm28065
ENSMUSG00000088858	1	20842535	20842666	Gm24723
ENSMUSG00000097934	1	20888650	20890473	6720483E21Rik
ENSMUSG00000025931	1	20890606	20939650	Paqr8
ENSMUSG00000077314	1	20915410	20915540	Gm24171
ENSMUSG00000100929	1	20945711	20946914	Gm28064
ENSMUSG00000041809	1	20951626	20990841	Efhc1
ENSMUSG00000041779	1	20996299	21079229	Tram2
ENSMUSG00000099971	1	21080114	21081748	Gm28287
ENSMUSG00000100819	1	21178988	21187427	Gm2693
ENSMUSG00000025933	1	21218575	21230167	Tmem14a
ENSMUSG00000102633	1	21234722	21236821	Gm38224
ENSMUSG00000025934	1	21240589	21265661	Gsta3
ENSMUSG00000099343	1	21250359	21271593	Gm28836
ENSMUSG00000096375	1	21272403	21272906	Gm7094
ENSMUSG00000025936	1	21285246	21298312	Gm4956
ENSMUSG00000093963	1	21312517	21316320	Gm21909
ENSMUSG00000067750	1	21349641	21352200	Khdc1a
ENSMUSG00000086194	1	21354005	21355116	Gm16329
ENSMUSG00000094436	1	21364803	21365030	Gm16327
ENSMUSG00000041722	1	21368331	21370845	Khdc1c
ENSMUSG00000085507	1	21372670	21373764	Gm2709
ENSMUSG00000094926	1	21379555	21379782	Gm16533
ENSMUSG00000085079	1	21383556	21386373	Khdc1b
ENSMUSG00000085679	1	21390906	21391101	Gm16328
ENSMUSG00000028033	1	21398403	21961942	Kcnq5
ENSMUSG00000104138	1	21454691	21457017	Gm36949
ENSMUSG00000082935	1	21511933	21513056	Gm7658
ENSMUSG00000103748	1	21838948	21840514	Gm38243
ENSMUSG00000097109	1	21959842	21962530	Gm26580
ENSMUSG00000099692	1	22030064	22030615	Gm5696
ENSMUSG00000100418	1	22237849	22238295	Gm28239
ENSMUSG00000041670	1	22286251	22805994	Rims1
ENSMUSG00000097642	1	22740764	22741565	Gm26866
ENSMUSG00000101468	1	22984863	22987125	Gm7761
ENSMUSG00000101227	1	23048295	23235673	Gm29506
ENSMUSG00000073730	1	23100473	23102253	4933415F23Rik
ENSMUSG00000089553	1	23245211	23245331	Gm24176
ENSMUSG00000102766	1	23255685	23256407	Gm6420
ENSMUSG00000065405	1	23272269	23272339	Mir30a
ENSMUSG00000097970	1	23291537	23291935	Gm27028
ENSMUSG00000065567	1	23291701	23291784	Mir30c-2
ENSMUSG00000100775	1	23293729	23294075	Gm29107
ENSMUSG00000101226	1	23345956	23346599	Gm20954
ENSMUSG00000026158	1	23366424	23397772	Ogfrl1
ENSMUSG00000097920	1	23479539	23480527	Gm7784
ENSMUSG00000099503	1	23574587	23596664	Gm28822
ENSMUSG00000026156	1	23761753	23849158	B3gat2
ENSMUSG00000026155	1	23844846	23922317	Smap1
ENSMUSG00000026154	1	23995939	24005656	Sdhaf4
ENSMUSG00000102495	1	24005505	24005894	Gm26524
ENSMUSG00000026153	1	24011093	24100341	Fam135a
ENSMUSG00000102398	1	24100625	24103424	Gm37580
ENSMUSG00000097670	1	24125275	24126141	Gm26607
ENSMUSG00000026147	1	24177610	24252684	Col9a1
ENSMUSG00000026141	1	24261890	24587472	Col19a1
ENSMUSG00000077463	1	24548841	24548977	Gm26418
ENSMUSG00000099997	1	24594087	24595423	Tubb4b-ps2
ENSMUSG00000100131	1	24611535	24612410	Gm28439
ENSMUSG00000067736	1	24612407	24612700	Gm10222
ENSMUSG00000101939	1	24612775	24613119	Gm28438
ENSMUSG00000101111	1	24613189	24613971	Gm28437
ENSMUSG00000100862	1	24613974	24614651	Gm10925
ENSMUSG00000102070	1	24614885	24615565	Gm28661
ENSMUSG00000101249	1	24615706	24616197	Gm29216
ENSMUSG00000073725	1	24678630	24766301	Lmbrd1
ENSMUSG00000100808	1	24910461	24911659	Gm28594
ENSMUSG00000100483	1	24963209	24965158	Gm28237
ENSMUSG00000100450	1	25011941	25012756	Gm9443
ENSMUSG00000099392	1	25026581	25027232	Gm29414
ENSMUSG00000033569	1	25067476	25829707	Adgrb3
ENSMUSG00000080849	1	25223730	25224173	Gm15702
ENSMUSG00000104257	1	25276404	25277954	Gm20172
ENSMUSG00000096866	1	25279445	25279551	Gm22260
ENSMUSG00000102296	1	25284218	25285248	Gm37543
ENSMUSG00000103209	1	25296512	25299886	Gm37331
ENSMUSG00000104027	1	25314276	25317708	Gm37211
ENSMUSG00000102407	1	25325866	25328398	Gm37862
ENSMUSG00000103214	1	25345978	25349082	Gm38286
ENSMUSG00000104100	1	25362564	25365820	Gm37880
ENSMUSG00000084740	1	25451071	25451174	Gm25294
ENSMUSG00000103889	1	25608250	25611184	Gm37011
ENSMUSG00000101301	1	25614946	25615515	Gm29214
ENSMUSG00000104221	1	25620238	25623180	Gm37051
ENSMUSG00000102250	1	25672245	25676239	Gm38260
ENSMUSG00000102317	1	25686062	25691501	Gm37628
ENSMUSG00000103563	1	25722038	25724778	8030445P17Rik
ENSMUSG00000102465	1	25735389	25738969	Gm38198
ENSMUSG00000102659	1	25755343	25759033	Gm37077
ENSMUSG00000103924	1	25775757	25780306	Gm37895
ENSMUSG00000104132	1	25797281	25800905	Gm36952
ENSMUSG00000102747	1	25804097	25807406	Gm37602
ENSMUSG00000102386	1	25808956	25809972	2900022M07Rik
ENSMUSG00000103004	1	25824390	25824719	2900002M20Rik
ENSMUSG00000104516	1	25830657	25831878	Gm9884
ENSMUSG00000101618	1	25996604	25997159	Gm18443
ENSMUSG00000099458	1	26466236	26466886	Gm19123
ENSMUSG00000088111	1	26566833	26566938	Gm24064
ENSMUSG00000073722	1	26681814	26687460	4931408C20Rik
ENSMUSG00000095256	1	26959103	26959221	n-R5s209
ENSMUSG00000100310	1	27336352	27336768	Gm19641
ENSMUSG00000101514	1	27884046	27902396	Gm5524
ENSMUSG00000101033	1	27900419	27901072	Gm18776
ENSMUSG00000101372	1	27989910	27991782	Gm19028
ENSMUSG00000103241	1	28569918	28571431	Gm38089
ENSMUSG00000086240	1	28580499	28580772	Gm7846
ENSMUSG00000048411	1	28776117	28780252	Gm597
ENSMUSG00000081557	1	28800240	28802721	Gm5697
ENSMUSG00000058590	1	28938036	28938339	Gm6462
ENSMUSG00000101235	1	29219700	29220249	Gm18033
ENSMUSG00000064433	1	29280964	29281075	Gm25586
ENSMUSG00000080625	1	29301480	29301579	Gm22679
ENSMUSG00000080391	1	29361275	29361370	Gm23785
ENSMUSG00000099257	1	29421488	29421612	Mir6342
ENSMUSG00000099492	1	29484604	29485915	Gm5525
ENSMUSG00000101726	1	29930094	29930715	Gm7858
ENSMUSG00000096829	1	29985934	29986043	Gm23771
ENSMUSG00000098883	1	30333291	30333397	Gm27430
ENSMUSG00000053185	1	30718560	30719962	Gm9898
ENSMUSG00000100261	1	30769687	30771815	Gm6473
ENSMUSG00000101180	1	30794548	30794875	Gm2914
ENSMUSG00000048874	1	30802339	30873921	Phf3
ENSMUSG00000103783	1	30833548	30836431	Gm37522
ENSMUSG00000104315	1	30865504	30868538	Gm37906
ENSMUSG00000026064	1	30940302	30949309	Ptp4a1
ENSMUSG00000117310	1	30940302	30949770	Ptp4a1
ENSMUSG00000117091	1	30977243	30977968	AC153137.1
ENSMUSG00000086726	1	30986225	30986953	Gm9458
ENSMUSG00000086727	1	30997842	31222684	4931428L18Rik
ENSMUSG00000100237	1	31041919	31043675	Gm28644
ENSMUSG00000098529	1	31122725	31122862	Gm27362
ENSMUSG00000100910	1	31136026	31150105	Gm29128
ENSMUSG00000099796	1	31164549	31164773	Gm7893
ENSMUSG00000050217	1	31176401	31204725	Lgsn
ENSMUSG00000026063	1	31222838	31224288	Pih1d3
ENSMUSG00000077664	1	31259593	31259719	Gm26145
ENSMUSG00000100205	1	31267326	31267884	Gm4850
ENSMUSG00000100592	1	31274892	31275455	Gm28645
ENSMUSG00000094215	1	31286945	31287640	Gm6489
ENSMUSG00000101093	1	31559540	31561400	Gm10307
ENSMUSG00000070960	1	31615149	31616661	Gm19680
ENSMUSG00000088620	1	31656632	31656738	Gm23032
ENSMUSG00000082159	1	31736057	31736891	Gm7910
ENSMUSG00000026058	1	32172714	32658568	Khdrbs2
ENSMUSG00000064688	1	32213133	32213239	Gm25814
ENSMUSG00000103482	1	32473757	32475565	Gm37999
ENSMUSG00000104498	1	32485315	32486942	Gm37110
ENSMUSG00000104313	1	32496444	32497988	Gm37911
ENSMUSG00000102865	1	32519563	32520999	Gm9839
ENSMUSG00000102321	1	32539028	32542440	Gm37792
ENSMUSG00000091318	1	32543686	32547294	Gm5415
ENSMUSG00000089489	1	32568359	32568421	Gm24732
ENSMUSG00000104433	1	32710179	32712648	Gm37426
ENSMUSG00000089395	1	32726639	32726930	Gm23024
ENSMUSG00000102926	1	32967484	32972490	Gm37151
ENSMUSG00000100497	1	33028160	33030290	Gm28624
ENSMUSG00000102917	1	33065130	33066350	Gm37724
ENSMUSG00000100481	1	33100907	33102695	Gm7114
ENSMUSG00000100590	1	33108905	33109655	Gm4785
ENSMUSG00000088750	1	33191993	33192102	Gm24901
ENSMUSG00000104230	1	33212774	33215475	Gm37591
ENSMUSG00000101754	1	33235939	33237631	Gm2987
ENSMUSG00000065223	1	33293676	33293775	Gm25792
ENSMUSG00000100318	1	33315670	33316582	Gm18799
ENSMUSG00000101612	1	33371331	33373585	Gm7933
ENSMUSG00000065260	1	33422733	33422838	Gm23453
ENSMUSG00000026134	1	33453810	33669795	Prim2
ENSMUSG00000101682	1	33482101	33482518	Gm29228
ENSMUSG00000102714	1	33613758	33616832	Gm37618
ENSMUSG00000102093	1	33657781	33658108	Gm17813
ENSMUSG00000103746	1	33669824	33670712	1700001G17Rik
ENSMUSG00000102198	1	33671915	33674228	Gm38173
ENSMUSG00000004768	1	33719887	33742564	Rab23
ENSMUSG00000042215	1	33745484	33757795	Bag2
ENSMUSG00000103072	1	33748007	33748347	Gm37905
ENSMUSG00000042197	1	33761545	33814595	Zfp451
ENSMUSG00000081402	1	33836124	33838680	Gm15455
ENSMUSG00000042182	1	33852052	33907816	Bend6
ENSMUSG00000104416	1	33889490	33891117	Gm37067
ENSMUSG00000026131	1	33908225	34308661	Dst
ENSMUSG00000103596	1	33922455	33924838	Gm37354
ENSMUSG00000099382	1	33963352	33963685	Gm28631
ENSMUSG00000084506	1	33981410	33981502	Gm23792
ENSMUSG00000103364	1	34032100	34033797	Gm38157
ENSMUSG00000105982	1	34117359	34117431	Mir6896
ENSMUSG00000096992	1	34165856	34178446	Gm26788
ENSMUSG00000103001	1	34269882	34271128	A930005N03Rik
ENSMUSG00000104397	1	34329433	34330307	Gm37958
ENSMUSG00000102839	1	34350775	34351161	Gm37385
ENSMUSG00000101206	1	34367371	34369003	Gm5266
ENSMUSG00000101462	1	34415050	34417986	Gm3052
ENSMUSG00000102336	1	34427002	34433264	Gm37233
ENSMUSG00000092852	1	34433121	34433199	Mir5103
ENSMUSG00000042111	1	34436670	34439672	Ccdc115
ENSMUSG00000101711	1	34439511	34444730	Gm28306
ENSMUSG00000026127	1	34439851	34449356	Imp4
ENSMUSG00000026126	1	34459762	34475733	Ptpn18
ENSMUSG00000100280	1	34468834	34473148	Gm28417
ENSMUSG00000101223	1	34477167	34485933	4930568A12Rik
ENSMUSG00000026125	1	34498410	34503063	Prss39
ENSMUSG00000101116	1	34523716	34524007	Gm28416
ENSMUSG00000026124	1	34535648	34544313	Cfc1
ENSMUSG00000101803	1	34538086	34538560	Gm28419
ENSMUSG00000037529	1	34543968	34560943	Prss40
ENSMUSG00000045815	1	34579202	34579711	1700101I19Rik
ENSMUSG00000045174	1	34579657	34590944	Amer3
ENSMUSG00000100524	1	34607297	34607719	Gm28418
ENSMUSG00000102499	1	34610572	34610806	Gm36984
ENSMUSG00000103521	1	34610908	34612303	Gm29730
ENSMUSG00000104098	1	34635544	34636189	AA619741
ENSMUSG00000037509	1	34678188	34813309	Arhgef4
ENSMUSG00000102537	1	34752775	34752922	Gm37224
ENSMUSG00000102612	1	34753123	34753477	Gm37845
ENSMUSG00000118272	1	34801794	34801964	Arhgef4
ENSMUSG00000104002	1	34809360	34811908	Gm38336
ENSMUSG00000037503	1	34813219	34843065	Fam168b
ENSMUSG00000104358	1	34823525	34826560	Gm37127
ENSMUSG00000026123	1	34849976	34879580	Plekhb2
ENSMUSG00000103716	1	34928509	34930645	Gm19430
ENSMUSG00000103548	1	34969627	34969855	Gm37670
ENSMUSG00000103760	1	34970065	34970500	Gm8009
ENSMUSG00000103997	1	34985656	34985890	Gm38027
ENSMUSG00000077231	1	35178956	35179084	Gm25096
ENSMUSG00000104417	1	35625606	35651297	Gm37068
ENSMUSG00000064601	1	35761602	35761706	Gm25634
ENSMUSG00000101714	1	35806974	35810462	Gm28415
ENSMUSG00000102531	1	35879845	35881119	1110002O04Rik
