"mGene","hGene"
"ENSMUSG00000040972","Psun_G000004242"
"ENSMUSG00000078234","Psun_G000004243"
"ENSMUSG00000020220","Psun_G000004143"
"ENSMUSG00000025658","Psun_G000004146"
"ENSMUSG00000028745","Psun_G000004260"
"ENSMUSG00000040842","Psun_G000004215"
"ENSMUSG00000028923","Psun_G000004219"
"ENSMUSG00000040860","Psun_G000004221"
"ENSMUSG00000045004","Psun_G000004218"
"ENSMUSG00000028749","Psun_G000004274"
"ENSMUSG00000028750","Psun_G000004275"
"ENSMUSG00000043621","Psun_G000004276"
"ENSMUSG00000041120","Psun_G000004262"
"ENSMUSG00000028747","Psun_G000004263"
"ENSMUSG00000041143","Psun_G000004265"
"ENSMUSG00000046447","Psun_G000004278"
"ENSMUSG00000041161","Psun_G000004267"
"ENSMUSG00000028756","Psun_G000004282"
"ENSMUSG00000028757","Psun_G000004283"
"ENSMUSG00000029722","Psun_G000022159"
"ENSMUSG00000041193","Psun_G000004272"
"ENSMUSG00000041202","Psun_G000004273"
"ENSMUSG00000028753","Psun_G000004277"
"ENSMUSG00000000305","Psun_G000007776"
"ENSMUSG00000041241","Psun_G000004279"
"ENSMUSG00000046109","Psun_G000004281"
"ENSMUSG00000057530","Psun_G000004296"
"ENSMUSG00000028766","Psun_G000004298"
"ENSMUSG00000028760","Psun_G000004293"
"ENSMUSG00000094035","Psun_G000004303"
"ENSMUSG00000028763","Psun_G000004304"
"ENSMUSG00000028758","Psun_G000004288"
"ENSMUSG00000028759","Psun_G000004290"
"ENSMUSG00000117841","Psun_G000004292"
"ENSMUSG00000060862","Psun_G000004312"
"ENSMUSG00000006699","Psun_G000004310"
"ENSMUSG00000036856","Psun_G000004311"
"ENSMUSG00000028664","Psun_G000004326"
"ENSMUSG00000028741","Psun_G000004254"
"ENSMUSG00000028743","Psun_G000004257"
"ENSMUSG00000028744","Psun_G000004258"
"ENSMUSG00000066036","Psun_G000004252"
"ENSMUSG00000070683","Psun_G000004329"
"ENSMUSG00000036940","Psun_G000004333"
"ENSMUSG00000041351","Psun_G000004300"
"ENSMUSG00000043411","Psun_G000004302"
"ENSMUSG00000001089","Psun_G000004334"
"ENSMUSG00000070687","Psun_G000004335"
"ENSMUSG00000028661","Psun_G000004321"
"ENSMUSG00000036887","Psun_G000004322"
"ENSMUSG00000036905","Psun_G000004324"
"ENSMUSG00000059291","Psun_G000004350"
"ENSMUSG00000020386","Psun_G000016249"
"ENSMUSG00000018983","Psun_G000004346"
"ENSMUSG00000007872","Psun_G000004347"
"ENSMUSG00000037157","Psun_G000004363"
"ENSMUSG00000062157","Psun_G000004365"
"ENSMUSG00000023433","Psun_G000004309"
"ENSMUSG00000037188","Psun_G000004366"
"ENSMUSG00000028668","Psun_G000004351"
"ENSMUSG00000028669","Psun_G000004352"
"ENSMUSG00000028670","Psun_G000004353"
"ENSMUSG00000028671","Psun_G000004354"
"ENSMUSG00000028672","Psun_G000004355"
"ENSMUSG00000028673","Psun_G000004356"
"ENSMUSG00000028675","Psun_G000004359"
"ENSMUSG00000028676","Psun_G000004361"
"ENSMUSG00000037139","Psun_G000004362"
"ENSMUSG00000037242","Psun_G000004377"
"ENSMUSG00000015994","Psun_G000026097"
"ENSMUSG00000070691","Psun_G000004378"
"ENSMUSG00000043924","Psun_G000004373"
"ENSMUSG00000028809","Psun_G000004374"
"ENSMUSG00000028822","Psun_G000004382"
"ENSMUSG00000037295","Psun_G000004386"
"ENSMUSG00000028803","Psun_G000004369"
"ENSMUSG00000059713","Psun_G000004371"
"ENSMUSG00000028801","Psun_G000004367"
"ENSMUSG00000028826","Psun_G000004385"
"ENSMUSG00000028821","Psun_G000004380"
"ENSMUSG00000037266","Psun_G000004381"
"ENSMUSG00000028825","Psun_G000004383"
"ENSMUSG00000066037","Psun_G000004337"
"ENSMUSG00000051351","Psun_G000004338"
"ENSMUSG00000001604","Psun_G000004341"
"ENSMUSG00000036995","Psun_G000004344"
"ENSMUSG00000037306","Psun_G000004390"
"ENSMUSG00000050989","Psun_G000004393"
"ENSMUSG00000046671","Psun_G000004395"
"ENSMUSG00000078521","Psun_G000004397"
"ENSMUSG00000037348","Psun_G000004398"
"ENSMUSG00000028832","Psun_G000004399"
"ENSMUSG00000050890","Psun_G000004406"
"ENSMUSG00000028840","Psun_G000004408"
"ENSMUSG00000028836","Psun_G000004403"
"ENSMUSG00000028834","Psun_G000004404"
"ENSMUSG00000108398","Psun_G000004407"
"ENSMUSG00000012123","Psun_G000004418"
"ENSMUSG00000020251","Psun_G000026666"
"ENSMUSG00000050966","Psun_G000004420"
"ENSMUSG00000012117","Psun_G000004422"
"ENSMUSG00000085009","Psun_G000004424"
"ENSMUSG00000003644","Psun_G000004426"
"ENSMUSG00000028838","Psun_G000004402"
"ENSMUSG00000037366","Psun_G000004400"
"ENSMUSG00000028851","Psun_G000004435"
"ENSMUSG00000037600","Psun_G000004436"
"ENSMUSG00000046694","Psun_G000004437"
"ENSMUSG00000054514","Psun_G000010545"
"ENSMUSG00000007880","Psun_G000004427"
"ENSMUSG00000043257","Psun_G000004428"
"ENSMUSG00000037553","Psun_G000004429"
"ENSMUSG00000047281","Psun_G000004430"
"ENSMUSG00000028848","Psun_G000004431"
"ENSMUSG00000028850","Psun_G000004432"
"ENSMUSG00000037583","Psun_G000004433"
"ENSMUSG00000028854","Psun_G000004440"
"ENSMUSG00000037692","Psun_G000004453"
"ENSMUSG00000037622","Psun_G000004441"
"ENSMUSG00000028857","Psun_G000004445"
"ENSMUSG00000028860","Psun_G000004446"
"ENSMUSG00000028841","Psun_G000004409"
"ENSMUSG00000048003","Psun_G000004410"
"ENSMUSG00000073747","Psun_G000004411"
"ENSMUSG00000037443","Psun_G000004414"
"ENSMUSG00000012126","Psun_G000004415"
"ENSMUSG00000028879","Psun_G000004460"
"ENSMUSG00000028882","Psun_G000004461"
"ENSMUSG00000049649","Psun_G000004450"
"ENSMUSG00000028862","Psun_G000004448"
"ENSMUSG00000028865","Psun_G000004449"
"ENSMUSG00000028868","Psun_G000004451"
"ENSMUSG00000028878","Psun_G000004457"
"ENSMUSG00000028874","Psun_G000004456"
"ENSMUSG00000037731","Psun_G000004463"
"ENSMUSG00000028885","Psun_G000004465"
"ENSMUSG00000053510","Psun_G000004878"
"ENSMUSG00000028884","Psun_G000004464"
"ENSMUSG00000054428","Psun_G000004471"
"ENSMUSG00000028893","Psun_G000004473"
"ENSMUSG00000066042","Psun_G000004475"
"ENSMUSG00000054405","Psun_G000004470"
"ENSMUSG00000028901","Psun_G000004483"
"ENSMUSG00000040025","Psun_G000004486"
"ENSMUSG00000050511","Psun_G000004487"
"ENSMUSG00000102530","Psun_G000004485"
"ENSMUSG00000028911","Psun_G000004496"
"ENSMUSG00000061132","Psun_G000013146"
"ENSMUSG00000028910","Psun_G000004499"
"ENSMUSG00000028906","Psun_G000004488"
"ENSMUSG00000085667","Psun_G000004495"
"ENSMUSG00000070720","Psun_G000004491"
"ENSMUSG00000028886","Psun_G000004468"
"ENSMUSG00000056529","Psun_G000004469"
"ENSMUSG00000040533","Psun_G000004505"
"ENSMUSG00000028581","Psun_G000004507"
"ENSMUSG00000028909","Psun_G000004502"
"ENSMUSG00000086856","Psun_G000004504"
"ENSMUSG00000025743","Psun_G000004508"
"ENSMUSG00000028580","Psun_G000004510"
"ENSMUSG00000078532","Psun_G000004512"
"ENSMUSG00000074088","Psun_G000004513"
"ENSMUSG00000028778","Psun_G000004524"
"ENSMUSG00000028779","Psun_G000004525"
"ENSMUSG00000023232","Psun_G000004520"
"ENSMUSG00000023120","Psun_G000004521"
"ENSMUSG00000028776","Psun_G000004523"
"ENSMUSG00000028788","Psun_G000004529"
"ENSMUSG00000028772","Psun_G000004515"
"ENSMUSG00000028773","Psun_G000004517"
"ENSMUSG00000066043","Psun_G000004476"
"ENSMUSG00000028896","Psun_G000004478"
"ENSMUSG00000028898","Psun_G000004480"
"ENSMUSG00000086290","Psun_G000004481"
"ENSMUSG00000028899","Psun_G000004482"
"ENSMUSG00000020546","Psun_G000017109"
"ENSMUSG00000000411","Psun_G000004549"
"ENSMUSG00000048485","Psun_G000004553"
"ENSMUSG00000078554","Psun_G000004550"
"ENSMUSG00000040859","Psun_G000004551"
"ENSMUSG00000040690","Psun_G000004526"
"ENSMUSG00000028782","Psun_G000004527"
"ENSMUSG00000028784","Psun_G000004528"
"ENSMUSG00000028790","Psun_G000004530"
"ENSMUSG00000053730","Psun_G000004531"
"ENSMUSG00000003731","Psun_G000004532"
"ENSMUSG00000050390","Psun_G000004560"
"ENSMUSG00000087575","Psun_G000004559"
"ENSMUSG00000028811","Psun_G000004561"
"ENSMUSG00000028792","Psun_G000004567"
"ENSMUSG00000053841","Psun_G000004536"
"ENSMUSG00000028795","Psun_G000004537"
"ENSMUSG00000040795","Psun_G000004539"
"ENSMUSG00000028798","Psun_G000004541"
"ENSMUSG00000050493","Psun_G000004544"
"ENSMUSG00000000409","Psun_G000004545"
"ENSMUSG00000028800","Psun_G000004546"
"ENSMUSG00000028797","Psun_G000004540"
"ENSMUSG00000047945","Psun_G000004548"
"ENSMUSG00000040928","Psun_G000004562"
"ENSMUSG00000028785","Psun_G000004564"
"ENSMUSG00000001334","Psun_G000004563"
"ENSMUSG00000028786","Psun_G000004565"
"ENSMUSG00000028793","Psun_G000004566"
"ENSMUSG00000028796","Psun_G000004575"
"ENSMUSG00000028807","Psun_G000004554"
"ENSMUSG00000057236","Psun_G000004556"
"ENSMUSG00000057572","Psun_G000004555"
"ENSMUSG00000001333","Psun_G000004558"
"ENSMUSG00000028804","Psun_G000004582"
"ENSMUSG00000028799","Psun_G000004573"
"ENSMUSG00000028794","Psun_G000004574"
"ENSMUSG00000043333","Psun_G000004671"
"ENSMUSG00000061894","Psun_G000004580"
"ENSMUSG00000028789","Psun_G000004568"
"ENSMUSG00000053333","Psun_G000010354"
"ENSMUSG00000041000","Psun_G000004569"
"ENSMUSG00000028813","Psun_G000004585"
"ENSMUSG00000042357","Psun_G000004586"
"ENSMUSG00000046623","Psun_G000004588"
"ENSMUSG00000042367","Psun_G000004589"
"ENSMUSG00000050234","Psun_G000004590"
"ENSMUSG00000042380","Psun_G000004591"
"ENSMUSG00000109058","Psun_G000004592"
"ENSMUSG00000042388","Psun_G000004595"
"ENSMUSG00000042477","Psun_G000004606"
"ENSMUSG00000028837","Psun_G000004607"
"ENSMUSG00000073755","Psun_G000004608"
"ENSMUSG00000042489","Psun_G000004609"
"ENSMUSG00000028842","Psun_G000004615"
"ENSMUSG00000028845","Psun_G000004617"
"ENSMUSG00000042558","Psun_G000004618"
"ENSMUSG00000028849","Psun_G000004622"
"ENSMUSG00000056174","Psun_G000004620"
"ENSMUSG00000028847","Psun_G000004621"
"ENSMUSG00000042500","Psun_G000004611"
"ENSMUSG00000041530","Psun_G000004614"
"ENSMUSG00000001985","Psun_G000004637"
"ENSMUSG00000043872","Psun_G000004598"
"ENSMUSG00000070737","Psun_G000004596"
"ENSMUSG00000042408","Psun_G000004597"
"ENSMUSG00000028820","Psun_G000004599"
"ENSMUSG00000028873","Psun_G000004647"
"ENSMUSG00000028871","Psun_G000004645"
"ENSMUSG00000044730","Psun_G000004646"
"ENSMUSG00000050188","Psun_G000004631"
"ENSMUSG00000042616","Psun_G000004632"
"ENSMUSG00000028861","Psun_G000004633"
"ENSMUSG00000028859","Psun_G000004634"
"ENSMUSG00000070369","Psun_G000012239"
"ENSMUSG00000043962","Psun_G000004624"
"ENSMUSG00000073758","Psun_G000004625"
"ENSMUSG00000050212","Psun_G000004626"
"ENSMUSG00000042608","Psun_G000004628"
"ENSMUSG00000042677","Psun_G000004638"
"ENSMUSG00000042707","Psun_G000004642"
"ENSMUSG00000028863","Psun_G000004640"
"ENSMUSG00000050213","Psun_G000004641"
"ENSMUSG00000028869","Psun_G000004644"
"ENSMUSG00000028907","Psun_G000004665"
"ENSMUSG00000028902","Psun_G000004661"
"ENSMUSG00000086441","Psun_G000004662"
"ENSMUSG00000029534","Psun_G000008783"
"ENSMUSG00000098760","Psun_G000004666"
"ENSMUSG00000042763","Psun_G000004649"
"ENSMUSG00000028889","Psun_G000004651"
"ENSMUSG00000078570","Psun_G000004652"
"ENSMUSG00000028876","Psun_G000004648"
"ENSMUSG00000028890","Psun_G000004653"
"ENSMUSG00000028894","Psun_G000004659"
"ENSMUSG00000086589","Psun_G000004660"
"ENSMUSG00000042446","Psun_G000004601"
"ENSMUSG00000028830","Psun_G000004604"
"ENSMUSG00000028833","Psun_G000004605"
"ENSMUSG00000085875","Psun_G000004669"
"ENSMUSG00000028646","Psun_G000004668"
"ENSMUSG00000028647","Psun_G000004670"
"ENSMUSG00000032744","Psun_G000004678"
"ENSMUSG00000054958","Psun_G000004680"
"ENSMUSG00000046093","Psun_G000004681"
"ENSMUSG00000086249","Psun_G000004679"
"ENSMUSG00000002384","Psun_G000004683"
"ENSMUSG00000032726","Psun_G000004686"
"ENSMUSG00000023075","Psun_G000004672"
"ENSMUSG00000028657","Psun_G000004691"
"ENSMUSG00000028656","Psun_G000004690"
"ENSMUSG00000027827","Psun_G000014228"
"ENSMUSG00000032890","Psun_G000004702"
"ENSMUSG00000032870","Psun_G000004697"
"ENSMUSG00000064141","Psun_G000004699"
"ENSMUSG00000028629","Psun_G000004700"
"ENSMUSG00000049878","Psun_G000004693"
"ENSMUSG00000078577","Psun_G000004694"
"ENSMUSG00000043207","Psun_G000004695"
"ENSMUSG00000028626","Psun_G000004696"
"ENSMUSG00000032897","Psun_G000004706"
"ENSMUSG00000028633","Psun_G000004711"
"ENSMUSG00000047518","Psun_G000004712"
"ENSMUSG00000000085","Psun_G000004714"
"ENSMUSG00000028634","Psun_G000004717"
"ENSMUSG00000028635","Psun_G000004715"
"ENSMUSG00000032978","Psun_G000004719"
"ENSMUSG00000023247","Psun_G000004721"
"ENSMUSG00000028631","Psun_G000004707"
"ENSMUSG00000028655","Psun_G000004689"
"ENSMUSG00000076436","Psun_G000004685"
"ENSMUSG00000028654","Psun_G000004688"
"ENSMUSG00000024903","Psun_G000004741"
"ENSMUSG00000070806","Psun_G000004724"
"ENSMUSG00000032998","Psun_G000004722"
"ENSMUSG00000028636","Psun_G000004726"
"ENSMUSG00000028642","Psun_G000004735"
"ENSMUSG00000028644","Psun_G000004738"
"ENSMUSG00000045268","Psun_G000004739"
"ENSMUSG00000085505","Psun_G000004740"
"ENSMUSG00000050854","Psun_G000004745"
"ENSMUSG00000028536","Psun_G000004746"
"ENSMUSG00000028730","Psun_G000004743"
"ENSMUSG00000028729","Psun_G000004742"
"ENSMUSG00000028538","Psun_G000004765"
"ENSMUSG00000028539","Psun_G000004767"
"ENSMUSG00000028649","Psun_G000004674"
"ENSMUSG00000011257","Psun_G000004677"
"ENSMUSG00000034265","Psun_G000027237"
"ENSMUSG00000021000","Psun_G000000797"
"ENSMUSG00000009640","Psun_G000004778"
"ENSMUSG00000033365","Psun_G000004769"
"ENSMUSG00000028540","Psun_G000004770"
"ENSMUSG00000033379","Psun_G000004771"
"ENSMUSG00000028541","Psun_G000004772"
"ENSMUSG00000078588","Psun_G000004774"
"ENSMUSG00000091237","Psun_G000004775"
"ENSMUSG00000028637","Psun_G000004728"
"ENSMUSG00000028639","Psun_G000004729"
"ENSMUSG00000078584","Psun_G000004734"
"ENSMUSG00000085203","Psun_G000004731"
"ENSMUSG00000028641","Psun_G000004733"
"ENSMUSG00000028643","Psun_G000004736"
"ENSMUSG00000033191","Psun_G000004747"
"ENSMUSG00000006389","Psun_G000004748"
"ENSMUSG00000006390","Psun_G000004749"
"ENSMUSG00000033253","Psun_G000004757"
"ENSMUSG00000006398","Psun_G000004750"
"ENSMUSG00000038578","Psun_G000005195"
"ENSMUSG00000006392","Psun_G000004754"
"ENSMUSG00000033948","Psun_G000004796"
"ENSMUSG00000028683","Psun_G000004793"
"ENSMUSG00000046861","Psun_G000004794"
"ENSMUSG00000033295","Psun_G000004761"
"ENSMUSG00000033326","Psun_G000004763"
"ENSMUSG00000028677","Psun_G000004779"
"ENSMUSG00000060268","Psun_G000004783"
"ENSMUSG00000048772","Psun_G000004782"
"ENSMUSG00000028678","Psun_G000004785"
"ENSMUSG00000047675","Psun_G000004787"
"ENSMUSG00000028680","Psun_G000004789"
"ENSMUSG00000073771","Psun_G000004791"
"ENSMUSG00000033872","Psun_G000004788"
"ENSMUSG00000028681","Psun_G000004792"
"ENSMUSG00000047671","Psun_G000004790"
"ENSMUSG00000043155","Psun_G000004797"
"ENSMUSG00000028687","Psun_G000004798"
"ENSMUSG00000028699","Psun_G000004818"
"ENSMUSG00000028701","Psun_G000004820"
"ENSMUSG00000111410","Psun_G000004817"
"ENSMUSG00000028700","Psun_G000004819"
"ENSMUSG00000063882","Psun_G000004823"
"ENSMUSG00000028706","Psun_G000004825"
"ENSMUSG00000034171","Psun_G000004826"
"ENSMUSG00000028707","Psun_G000004827"
"ENSMUSG00000055210","Psun_G000004852"
"ENSMUSG00000044556","Psun_G000004836"
"ENSMUSG00000034210","Psun_G000004838"
"ENSMUSG00000047155","Psun_G000004845"
"ENSMUSG00000066072","Psun_G000004841"
"ENSMUSG00000084346","Psun_G000004843"
"ENSMUSG00000078597","Psun_G000004844"
"ENSMUSG00000028716","Psun_G000004848"
"ENSMUSG00000028717","Psun_G000004849"
"ENSMUSG00000039703","Psun_G000017910"
"ENSMUSG00000070867","Psun_G000004853"
"ENSMUSG00000028688","Psun_G000004800"
"ENSMUSG00000033985","Psun_G000004802"
"ENSMUSG00000028690","Psun_G000004805"
"ENSMUSG00000038056","Psun_G000023854"
"ENSMUSG00000028689","Psun_G000004804"
"ENSMUSG00000028691","Psun_G000004806"
