Geneid,Chr,chr,Mouse_ID,Gene_name,Start,End,Length
Psun_G000000073,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037904,Ankrd9,1734734,1734999,273
Psun_G000000074,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037904,Ankrd9,1736531,1737505,975
Psun_G000000075,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021275,Tecpr2,1742077,1745570,3705
Psun_G000000076,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021275,Tecpr2,1761603,1761790,3519
Psun_G000000077,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1818935,1819303,369
Psun_G000000078,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021276,Cinp,1819352,1819358,636
Psun_G000000079,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000005362,Crbn,1831446,1831619,387
Psun_G000000080,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1836387,1836427,672
Psun_G000000081,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000073408,#N/A,1837151,1837194,1863
Psun_G000000082,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000115520,#N/A,1860182,1860325,186
Psun_G000000083,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056458,Mok,1882809,1882877,252
Psun_G000000084,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056458,Mok,1885699,1885728,561
Psun_G000000085,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037957,Wdr20,1891895,1892103,1851
Psun_G000000086,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037957,Wdr20,1915258,1915461,210
Psun_G000000087,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037957,Wdr20,1946393,1946795,3564
Psun_G000000088,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037957,Wdr20,1946427,1947029,603
Psun_G000000089,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021270,Hsp90aa1,1984846,1985354,577
Psun_G000000090,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021270,Hsp90aa1,1985967,1986128,2628
Psun_G000000091,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040097,Flywch1,2005830,2006305,1222
Psun_G000000092,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000018707,Dync1h1,2011249,2011599,1278
Psun_G000000093,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000018707,Dync1h1,2014626,2014910,12846
Psun_G000000094,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000017843,Ppp2r5c,2084899,2085208,803
Psun_G000000095,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000017843,Ppp2r5c,2086497,2086624,234
Psun_G000000096,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,2088079,2088207,384
Psun_G000000097,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000017843,Ppp2r5c,2089546,2089677,1282
Psun_G000000098,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000075707,Dio3,2338694,2339065,855
Psun_G000000099,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,2856151,2856353,803
Psun_G000000100,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097451,#N/A,2894452,2895075,2640
Psun_G000000101,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097451,#N/A,2959803,2959822,454
Psun_G000000102,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021268,#N/A,3006872,3006927,387
Psun_G000000103,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021268,#N/A,3020090,3020205,225
Psun_G000000104,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037994,Slc9b2,3022438,3022572,201
Psun_G000000105,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040856,#N/A,3103092,3103839,816
Psun_G000000106,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040867,Begain,3443179,3445788,5003
Psun_G000000107,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040867,Begain,3451770,3451858,501
Psun_G000000108,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040877,Wdr25,3585515,3585544,992
Psun_G000000109,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,3590106,3590445,360
Psun_G000000110,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021266,Wars,3595486,3595596,1428
Psun_G000000111,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,3620977,3621111,486
Psun_G000000112,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000048856,Slc25a47,3625381,3626186,1559
Psun_G000000113,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021265,Slc25a29,3640421,3640589,2419
Psun_G000000114,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021264,Yy1,3659608,3664429,5218
Psun_G000000115,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021263,Degs2,3742217,3744114,2288
Psun_G000000116,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021263,Degs2,3746047,3746523,643
Psun_G000000117,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021263,Degs2,3749488,3749620,330
Psun_G000000118,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021262,Evl,3752901,3753105,645
Psun_G000000119,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097788,#N/A,3891160,3891362,216
Psun_G000000120,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000058070,Eml1,3891870,3891995,1932
Psun_G000000121,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021259,Cyp46a1,4048188,4048933,2267
Psun_G000000122,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021260,Hhipl1,4079230,4081577,4239
Psun_G000000123,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000084883,Ccdc85c,4125600,4126445,846
Psun_G000000124,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000084883,Ccdc85c,4176806,4176814,2991
Psun_G000000125,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4185436,4185549,192
Psun_G000000126,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021258,Ccnk,4185850,4186475,1965
Psun_G000000127,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056770,Setd3,4210759,4210767,1008
Psun_G000000128,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056770,Setd3,4265710,4266255,2482
Psun_G000000129,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4304423,4304889,583
Psun_G000000130,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000048251,Bcl11b,4361559,4361571,558
Psun_G000000131,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000048251,Bcl11b,4430515,4430527,2025
Psun_G000000132,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4456324,4456400,405
Psun_G000000133,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4528204,4528297,2412
Psun_G000000134,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4534937,4535026,189
Psun_G000000135,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,4629634,4629826,647
Psun_G000000136,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000107314,#N/A,5083167,5083175,262
Psun_G000000137,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000032480,Dhx30,5158612,5158655,219
Psun_G000000138,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,5719349,5719355,3238
Psun_G000000139,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000112857,#N/A,5853658,5855029,2092
Psun_G000000140,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000096156,Gm9242,5964396,5964473,333
Psun_G000000141,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000096156,Gm9242,5965046,5965351,306
Psun_G000000142,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021115,Vrk1,6219355,6219389,1174
Psun_G000000143,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021111,Papola,6438861,6440907,4537
Psun_G000000144,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041323,Ak7,6492126,6492488,2012
Psun_G000000145,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000009569,Mrtfb,6547918,6548015,1257
Psun_G000000146,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044715,Gskip,6563900,6565715,2154
Psun_G000000147,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044715,Gskip,6573890,6574558,669
Psun_G000000148,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041341,Atg2b,6574767,6574928,5862
Psun_G000000149,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,6636877,6636995,222
Psun_G000000150,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,6638623,6638701,597
Psun_G000000151,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041347,Bdkrb1,6651682,6652695,1014
Psun_G000000152,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021070,Bdkrb2,6662464,6666264,3910
Psun_G000000153,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,6677226,6677350,205
Psun_G000000154,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000094910,D430019H16Rik,6779394,6779612,219
Psun_G000000155,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097929,Tunar,6865611,6865796,213
Psun_G000000156,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044636,Csrnp2,6947979,6948133,390
Psun_G000000157,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000039100,Marchf6,6999648,6999669,1117
Psun_G000000158,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000039621,Prex1,7021900,7022118,390
Psun_G000000159,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021102,Glrx5,7133629,7134178,1659
Psun_G000000160,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000113722,#N/A,7142504,7142778,459
Psun_G000000161,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054150,Syne3,7192063,7192329,4953
Psun_G000000162,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021101,#N/A,7303810,7305580,2236
Psun_G000000163,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021097,Clmn,7371461,7371535,2964
Psun_G000000164,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000034607,Pof1b,7395854,7395960,1104
Psun_G000000165,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021097,Clmn,7400311,7400424,504
Psun_G000000166,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041415,Dicer1,7421398,7421503,6068
Psun_G000000167,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041415,Dicer1,7478290,7478360,183
Psun_G000000168,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021095,#N/A,7700420,7700774,771
Psun_G000000169,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021091,Serpina3n,7762526,7762610,990
Psun_G000000170,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000066361,#N/A,7768283,7769140,2271
Psun_G000000171,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021091,Serpina3n,7801515,7801650,1280
Psun_G000000172,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041550,Serpina5,7817067,7818010,2164
Psun_G000000173,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000092075,Serpina4-ps1,7835410,7835804,1699
Psun_G000000174,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041567,Serpina12,7868880,7869055,1753
Psun_G000000175,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000058260,Serpina9,7899099,7899337,1515
Psun_G000000176,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,7914953,7915089,453
Psun_G000000177,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000093753,#N/A,7920445,7920638,1478
Psun_G000000178,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000031554,Adam5,7933924,7933998,399
Psun_G000000179,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000071178,Serpina1b,7953086,7956407,4762
Psun_G000000180,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000091902,#N/A,7979602,7980241,1254
Psun_G000000181,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,8003952,8004088,1389
Psun_G000000182,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,8015556,8016183,1239
Psun_G000000183,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000071179,#N/A,8035201,8035828,1272
Psun_G000000184,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000060807,Serpina6,8049490,8049753,1579
Psun_G000000185,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000061947,Serpina10,8077205,8077279,3767
Psun_G000000186,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021209,Ppp4r4,8086856,8088273,3706
Psun_G000000187,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,8213379,8213650,282
Psun_G000000188,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000079017,Ifi27l2a,8215702,8224101,8798
Psun_G000000189,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000064215,Ifi27,8216063,8216180,682
Psun_G000000190,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000079017,Ifi27l2a,8231540,8231970,776
Psun_G000000191,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041645,Ddx24,8237168,8237243,2679
Psun_G000000192,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,8254688,8254825,243
Psun_G000000193,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021203,Otub2,8256310,8258671,3439
Psun_G000000194,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000032394,Igdcc3,8284750,8287804,4569
Psun_G000000195,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000090185,#N/A,8313476,8313754,1978
Psun_G000000196,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021200,Asb2,8337351,8337449,375
Psun_G000000197,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000096753,Fam181a,8342516,8343394,879
Psun_G000000198,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041669,Prima1,8452430,8452647,3053
Psun_G000000199,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000020263,Appl2,8463406,8464011,1875
Psun_G000000200,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021198,Unc79,8470255,8470797,587
Psun_G000000201,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021198,Unc79,8485645,8485854,649
Psun_G000000202,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021198,Unc79,8511019,8511126,5892
Psun_G000000203,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021198,Unc79,8639517,8639542,732
Psun_G000000204,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000063273,Naa15,8746412,8746591,587
Psun_G000000205,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041702,Btbd7,8791854,8792042,947
Psun_G000000206,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041702,Btbd7,8808002,8808232,2253
Psun_G000000207,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041702,Btbd7,8828837,8828906,327
Psun_G000000208,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041712,Ubr7,8841293,8841412,285
Psun_G000000209,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041716,Gm20604,8842309,8842401,1446
Psun_G000000210,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,8858849,8859097,249
Psun_G000000211,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041716,Gm20604,8870455,8871596,1614
Psun_G000000212,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041716,Gm20604,8872277,8872545,447
Psun_G000000213,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041716,Gm20604,8872911,8873442,1178
Psun_G000000214,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000057963,Itpk1,9003968,9004137,318
Psun_G000000215,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021194,Chga,9043494,9044289,2098
Psun_G000000216,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,9095605,9095874,270
Psun_G000000217,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021192,Golga5,9098127,9098589,2500
Psun_G000000218,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,9122468,9122633,166
Psun_G000000219,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021190,Lgmn,9159239,9159528,3258
Psun_G000000220,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044456,Rin3,9179079,9181177,3342
Psun_G000000221,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044456,Rin3,9207968,9208070,420
Psun_G000000222,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000039375,Wdr17,9233734,9233976,261
Psun_G000000223,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044456,Rin3,9244924,9245374,465
Psun_G000000224,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041771,Slc24a4,9285712,9290024,4884
Psun_G000000225,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041771,Slc24a4,9316410,9316611,942
Psun_G000000226,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041781,Cpsf2,9519601,9522750,5886
Psun_G000000227,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000113902,Ndufb1-ps,9547027,9547294,602
Psun_G000000228,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021189,Atxn3,9560803,9560909,1061
Psun_G000000229,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021188,Trip11,9615833,9616003,5124
Psun_G000000230,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021188,Trip11,9657757,9657864,503
Psun_G000000231,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021186,Fbln5,9680246,9680542,675
Psun_G000000232,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021186,Fbln5,9727768,9727948,1827
